  r/a  gpsi_sqrt  q  m=0cos  m=0sin  m=1cos  m=1sin  m=2cos  m=2sin  m=3cos  m=3sin  m=4cos  m=4sin  m=5cos  m=5sin  m=6cos  m=6sin  m=7cos  m=7sin  m=8cos  m=8sin  m=9cos  m=9sin  m=10cos  m=10sin  m=11cos  m=11sin  m=12cos  m=12sin  m=13cos  m=13sin  m=14cos  m=14sin  m=15cos  m=15sin  m=16cos  m=16sin  m=17cos  m=17sin  m=18cos  m=18sin  m=19cos  m=19sin  m=20cos  m=20sin  m=21cos  m=21sin  m=22cos  m=22sin  m=23cos  m=23sin  m=24cos  m=24sin  m=25cos  m=25sin  m=26cos  m=26sin  m=27cos  m=27sin  m=28cos  m=28sin  m=29cos  m=29sin  m=30cos  m=30sin  m=31cos  m=31sin  m=32cos  m=32sin  m=33cos  m=33sin  m=34cos  m=34sin  m=35cos  m=35sin  m=36cos  m=36sin  m=37cos  m=37sin  m=38cos  m=38sin  m=39cos  m=39sin  m=40cos  m=40sin  m=41cos  m=41sin  m=42cos  m=42sin  m=43cos  m=43sin  m=44cos  m=44sin  m=45cos  m=45sin  m=46cos  m=46sin  m=47cos  m=47sin  m=48cos  m=48sin  m=49cos  m=49sin  m=50cos  m=50sin  m=51cos  m=51sin  m=52cos  m=52sin  m=53cos  m=53sin  m=54cos  m=54sin  m=55cos  m=55sin  m=56cos  m=56sin  m=57cos  m=57sin  m=58cos  m=58sin  m=59cos  m=59sin  m=60cos  m=60sin  m=61cos  m=61sin  m=62cos  m=62sin  m=63cos  m=63sin  m=64cos  m=64sin
   0.00000E+00   0.00000E+00   9.98748E-01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
   4.41306E-03   5.87772E-03   9.98748E-01   8.81458E-07  -7.82226E-07  -1.64524E-05   2.04398E-05   1.41759E-06  -9.85717E-07   1.06788E-06  -8.53687E-07  -5.46300E-07   3.96295E-07   1.15352E-07  -8.50904E-08   9.78392E-08  -6.93012E-08  -1.13815E-07   8.81069E-08   2.32115E-08  -1.85201E-08   4.38636E-08  -3.00437E-08  -4.60010E-08   3.59244E-08   1.67530E-09  -4.25385E-10   2.84166E-08  -2.05657E-08  -2.45214E-08   2.07535E-08  -3.25219E-09   2.65842E-09   1.83341E-08  -1.23829E-08  -1.23807E-08   1.06216E-08  -6.49471E-09   6.07401E-09   1.39713E-08  -9.96970E-09  -7.28021E-09   7.31803E-09  -6.22052E-09   5.41937E-09   9.29539E-09  -5.85516E-09  -2.81028E-09   3.30410E-09  -6.80795E-09   6.49937E-09   7.21648E-09  -4.75444E-09  -1.13366E-09   2.42912E-09  -5.64049E-09   5.26086E-09   4.38823E-09  -2.09849E-09   9.22479E-10   4.41107E-10  -5.51293E-09   5.64690E-09   3.29384E-09  -1.58535E-09   1.30497E-09   5.11344E-10  -4.20472E-09   4.37053E-09   1.50194E-09   1.98567E-10   2.27727E-09  -5.27565E-10  -3.90577E-09   4.55868E-09   9.93418E-10   3.46234E-10   2.08596E-09  -4.46779E-11  -2.67996E-09   3.39560E-09  -1.84282E-10   1.62451E-09   2.55122E-09  -6.32429E-10  -2.35484E-09   3.50213E-09  -3.61023E-10   1.59714E-09   2.09680E-09   3.07560E-11  -1.26148E-09   2.46950E-09  -1.11480E-09   2.52314E-09   2.26917E-09  -2.73457E-10  -9.82638E-10   2.56190E-09  -1.01654E-09   2.32564E-09   1.69245E-09   4.67222E-10  -1.09169E-10   1.74822E-09  -1.40295E-09   2.92046E-09   1.71484E-09   3.25871E-10   4.86828E-11   1.90560E-09  -1.10549E-09   2.60008E-09   1.15569E-09   1.02131E-09   6.90084E-10   1.31555E-09  -1.25227E-09   2.97700E-09   1.13040E-09   9.57011E-10   7.58546E-10   1.49968E-09  -8.62589E-10   2.62081E-09   6.37298E-10   1.58010E-09   1.22420E-09   1.06707E-09  -8.48624E-10   2.84115E-09   6.01287E-10   1.56538E-09
   8.83967E-03   1.17554E-02   9.99858E-01   1.27881E-06  -1.28812E-06  -1.44327E-05   1.94077E-05   7.75221E-07  -4.93437E-07   3.39838E-06  -2.59647E-06  -1.51603E-06   1.11477E-06   4.19218E-08  -1.53364E-07   4.91318E-07  -3.63516E-07  -1.94930E-07   2.31748E-07  -2.02571E-07   1.42029E-07   1.62972E-07  -1.58828E-07   6.25372E-08  -3.46335E-08  -9.87813E-08   7.66549E-08   9.62521E-10  -7.79554E-09   4.76651E-08  -2.00314E-08  -2.29296E-08   1.91874E-08  -2.33461E-08   5.37597E-09   2.39868E-08  -1.48414E-08   1.67523E-08  -8.24916E-09  -2.17420E-08   1.36507E-08  -1.46688E-08   1.63411E-08   2.03644E-08  -1.31684E-08   6.91221E-09  -9.95527E-09  -2.01452E-08   1.62565E-08   5.30352E-09  -1.02257E-09   1.62837E-08  -1.26391E-08  -1.62989E-08   1.51392E-08  -9.02067E-09   8.00930E-09   1.94958E-08  -1.66107E-08  -3.43546E-10   1.45556E-09  -1.50218E-08   1.32992E-08   7.13840E-09  -5.24358E-09   6.71320E-09  -2.53921E-09  -9.99937E-09   8.59553E-09  -3.28321E-10  -8.55935E-10   8.73123E-09  -5.13777E-09  -2.20833E-09   3.62733E-09  -6.18341E-09   4.84279E-09   2.06074E-09   5.62246E-10   3.92378E-09  -1.48037E-09  -2.12885E-09   1.11355E-09  -2.70857E-09   3.27312E-09   3.72036E-09  -6.90124E-10   1.55842E-09  -5.67257E-10  -5.62764E-09   5.97011E-09   3.90948E-10   1.26687E-09   6.14730E-09  -4.38145E-09  -2.72375E-09   3.28127E-09  -3.90639E-09   4.91828E-09   4.71462E-09  -2.52740E-09   6.08498E-10   1.30016E-09  -4.75689E-09   5.09223E-09   2.58037E-09  -1.29383E-09   3.63764E-09  -1.22446E-09  -3.25979E-09   4.41058E-09  -1.28135E-09   2.10697E-09   2.97977E-09  -3.41343E-10   5.11525E-11   1.66142E-09  -1.52442E-09   2.00264E-09   1.12743E-09   7.92208E-10   1.68890E-09   8.76332E-10  -8.41939E-10   1.93831E-09  -1.36690E-09   2.92910E-09   1.71611E-09   6.28506E-10   1.96009E-09  -3.08328E-10  -1.60461E-09   2.89064E-09
   1.32656E-02   1.76332E-02   1.00041E+00   1.30064E-06  -1.01971E-06  -1.22485E-05   1.78123E-05   6.66760E-07  -5.49659E-07   4.64380E-06  -2.40720E-06  -3.52648E-06   2.50106E-06   1.20673E-06  -1.90259E-06   6.59311E-07  -3.32236E-07  -1.48475E-07   2.62249E-07  -6.46107E-08  -4.17912E-08  -1.31909E-07   2.06428E-07   1.54966E-07  -7.97343E-08  -1.53823E-07   1.48937E-07  -1.27952E-07   6.46416E-08   1.42023E-07  -1.42941E-07  -3.32712E-09   2.91517E-08   1.93415E-09  -4.40994E-08   2.95334E-09  -1.22546E-08   4.57963E-08  -1.63553E-08   2.29340E-08  -1.13559E-08  -8.03836E-08   7.50881E-08   1.81248E-08  -1.86434E-08   1.02449E-08   9.65053E-09  -3.30165E-08   2.59423E-08  -1.40273E-09  -1.70591E-08   7.58791E-09  -2.11062E-09   3.37751E-08  -3.07464E-08  -1.52097E-08   9.90640E-09  -4.67787E-09   2.01484E-09   2.85445E-08  -1.81158E-08  -1.68718E-08   2.57448E-08  -1.25774E-08   5.81918E-09  -4.78651E-09   7.26064E-09   5.28389E-09   4.29083E-10   3.01700E-10  -4.08593E-09  -1.50577E-08   9.63441E-09   1.99959E-08  -1.96361E-08   7.60351E-09  -2.11245E-09  -7.95118E-09   6.06613E-09   3.16992E-09  -3.87225E-09   4.51396E-10   7.39389E-09   1.97137E-09   5.02429E-10  -1.36884E-08   1.22767E-08  -1.86222E-09   1.79501E-09   1.02797E-08  -7.38180E-09  -7.32592E-09   7.02427E-09   1.92093E-09  -5.83484E-09   5.59955E-09  -2.85339E-09   4.99825E-09  -1.28023E-09  -1.29059E-09   1.16948E-09  -6.56036E-09   8.09332E-09   6.62805E-09  -3.02820E-09  -3.62973E-09   6.85307E-09  -7.11544E-09   5.67126E-09   2.93931E-09  -2.81229E-09   1.67951E-09   1.26772E-09   2.79623E-09  -3.24820E-09  -2.61062E-09   2.14543E-09   4.49166E-09  -2.23681E-09   5.12059E-09  -1.74935E-09  -5.96787E-09   7.56226E-09   8.50072E-11   5.59525E-10   5.00835E-10   3.27627E-09  -1.05968E-09   2.95803E-09  -2.06657E-09   1.60647E-09  -1.07506E-09   2.06065E-09
   1.76935E-02   2.35109E-02   1.00071E+00   1.99730E-06  -1.68859E-06  -1.10746E-05   1.70255E-05   1.13861E-06  -1.77922E-06   5.59223E-06  -2.07830E-06  -6.37488E-06   3.88916E-06   2.74536E-06  -4.72033E-06   5.99077E-07  -4.66199E-07   3.03085E-07  -3.44134E-07  -6.98092E-08  -1.29502E-07   2.51547E-08   3.99873E-08   3.65157E-07  -1.03631E-07  -3.72772E-07   5.49910E-07  -6.10779E-08   8.61942E-09  -5.40132E-08   1.08707E-07   2.11234E-08   1.77573E-08  -7.25899E-08   1.24108E-08  -9.26945E-08  -1.32752E-09   1.57771E-07  -1.84284E-07  -3.36295E-08   5.93668E-08   2.50157E-08  -6.14484E-08  -1.96574E-08   1.62533E-08   7.17724E-08  -3.57985E-08   4.50942E-09   2.51243E-08  -5.43691E-08   4.34880E-08   3.74403E-08  -4.77484E-08  -2.36431E-09   2.73675E-08  -4.23616E-10  -3.68514E-09  -4.10205E-08   2.70294E-08   9.39604E-09  -8.65843E-09   1.66079E-08   1.89466E-09  -4.10118E-08   4.12926E-08   7.61641E-09  -2.41512E-08  -7.13194E-10   5.71864E-09   2.78661E-08  -2.73567E-08  -1.84479E-08   7.63941E-09   9.70663E-09  -2.31135E-08   2.65610E-08  -1.91768E-08  -6.38346E-09   1.70803E-08  -1.90914E-09  -6.35716E-10  -1.24969E-08   1.92646E-08   1.56940E-08  -3.41989E-09  -1.81591E-08   2.47690E-08  -1.32028E-08   4.55404E-09   6.15730E-09  -9.99842E-09   1.14198E-09   1.54645E-09   1.47796E-09  -8.61223E-09  -1.00296E-08   2.91550E-09   1.71933E-08  -1.67909E-08   3.60689E-09   4.44778E-09  -5.98119E-09   5.40420E-09   3.21754E-09  -4.48492E-09   2.87069E-09   3.74340E-09   7.26241E-09  -3.79197E-09  -1.48004E-08   1.26915E-08   5.78229E-09  -8.75821E-09   1.33790E-09   4.30822E-09  -3.52165E-09   5.43290E-09  -6.48172E-09   3.63146E-09  -1.60797E-09   2.62762E-09   8.27059E-09  -4.64654E-09  -8.09218E-09   8.01864E-09   1.47012E-09  -7.01126E-09   5.03489E-09  -4.78930E-09   5.76247E-09  -3.39660E-09  -8.51128E-10  -5.15335E-10
   2.21240E-02   2.96111E-02   1.00095E+00   1.48380E-06  -1.15842E-06  -9.18354E-06   1.56954E-05   3.09395E-07  -2.34582E-06   8.66720E-06  -4.35528E-06  -1.13076E-05   6.91480E-06   6.03997E-06  -1.00412E-05  -9.19411E-08   4.76559E-07   9.34883E-07  -9.98835E-07  -3.59749E-07   5.33711E-07   1.53019E-08   6.10249E-08   6.08999E-07  -2.09679E-07  -6.65817E-07   8.68913E-07   1.57068E-07  -4.46534E-07  -9.77384E-08   1.30115E-07   1.83397E-07  -1.13857E-07  -1.71548E-07   2.72671E-07  -1.07265E-07   9.27706E-08   6.53005E-08  -4.73439E-08  -2.69666E-08   9.12911E-08  -6.54904E-08  -2.96204E-08  -2.99125E-08  -7.33994E-08   1.27220E-07  -1.44335E-07  -3.40080E-08   6.66736E-08   2.79924E-08  -3.21088E-08  -5.16161E-08   3.79645E-08   9.75362E-08  -8.66673E-08  -2.04209E-08   3.88767E-08  -3.67714E-08  -7.68979E-09   6.23063E-08  -7.04959E-08  -2.14651E-08   6.40955E-08   3.48328E-08  -6.53029E-09  -7.94799E-08   9.42786E-08   3.14761E-08  -4.44221E-08   1.44022E-09   2.01519E-08  -3.14327E-08   1.79567E-08   1.28938E-09  -2.81212E-08  -1.86518E-09   7.66178E-09   2.36247E-08  -1.20544E-08  -3.15595E-08   3.82133E-08   2.18156E-09  -2.49307E-08   1.04625E-08  -1.76841E-08   1.96238E-08  -1.94288E-08  -1.98085E-08   6.31195E-09   1.62769E-08  -2.30497E-08   1.16553E-08   3.35301E-09  -1.61628E-09   1.67009E-08  -4.86620E-09   4.90631E-09  -1.46616E-08   7.05336E-09   3.08039E-08  -2.71721E-08  -2.39342E-08   3.18863E-08   1.62326E-09  -9.76044E-09  -2.70582E-09   9.92808E-09   1.23535E-09   7.63257E-09  -1.17806E-09   4.16601E-09  -2.16245E-08   1.12437E-08   1.84103E-08  -3.03311E-08  -1.58546E-09   6.52975E-09  -8.69626E-11  -5.50169E-09  -4.50345E-09   1.07763E-09   9.50554E-09  -6.80537E-09   3.11613E-09   1.53693E-09  -4.86189E-09   2.57254E-09  -8.43197E-10  -8.79351E-09   9.45933E-09  -7.85449E-09   4.31444E-09   2.65595E-09
   2.65561E-02   3.65791E-02   1.00144E+00   6.34527E-07  -4.09527E-07  -6.21041E-06   1.28478E-05  -1.29306E-06  -2.02183E-06   1.11287E-05  -5.63555E-06  -1.71141E-05   1.04575E-05   1.11774E-05  -1.89609E-05  -1.42179E-07   1.43681E-06  -1.35638E-08   8.94630E-07  -6.82193E-08   2.34898E-07   3.00623E-07  -4.53385E-07   2.18588E-07  -1.75627E-07  -2.90680E-07   4.47409E-07   3.86982E-08  -2.71538E-07  -1.11824E-07   2.12243E-07   3.76824E-07   3.06598E-08  -4.98156E-07   6.60696E-07   1.32288E-07  -2.85342E-07  -1.58475E-07   1.60908E-07   1.31090E-07  -1.47807E-07  -1.17211E-07   2.03215E-07  -1.07465E-07   7.69636E-08   1.84410E-07  -2.26280E-07  -7.58957E-08   1.58615E-07  -5.04294E-08  -3.69121E-08  -7.18034E-09  -1.20981E-07   1.37647E-07  -1.25819E-07  -1.00286E-07   1.47698E-07   1.08947E-07  -1.44499E-07  -7.05247E-08   6.25940E-08   5.58911E-08  -8.87635E-08   3.57259E-08  -1.84525E-08  -7.91078E-08   7.63015E-08   5.64601E-08  -7.83948E-08   2.75191E-08   2.95120E-08  -1.78580E-08   5.26260E-08  -6.21170E-08   4.50678E-08   6.06695E-08  -7.67149E-08  -5.17252E-08   7.77199E-08   2.84043E-08  -1.33414E-08  -3.65482E-08   4.40964E-08   9.13192E-09  -2.02174E-08   1.29729E-08   4.82635E-09  -3.98368E-08   3.28073E-08   8.77560E-09  -4.48569E-08   1.06320E-09   5.34733E-10   3.11735E-08  -2.54541E-08  -2.99222E-08   3.05733E-08   1.65387E-08  -3.40914E-08  -9.21004E-09  -5.81613E-09   3.10702E-08  -3.23951E-08  -2.80150E-08   3.17438E-08   1.63765E-08  -3.48341E-08   2.53101E-08  -1.13241E-08  -2.60507E-08   4.31126E-08   9.49059E-09  -2.36716E-08  -1.27670E-08   1.12919E-08   1.36580E-08  -1.00313E-08  -5.84045E-09   1.72896E-08   3.49596E-09   3.30816E-09  -2.46727E-08   2.37041E-08   2.53108E-08  -2.57296E-08  -2.19753E-08   3.01988E-08  -1.12871E-08  -2.94663E-09   2.20850E-08  -2.70415E-08  -1.11006E-08   2.12207E-08
   3.09905E-02   4.24174E-02   1.00204E+00  -3.41218E-07   2.41790E-07  -2.39840E-06   8.87068E-06  -3.21698E-06  -1.06562E-06   1.18631E-05  -4.53184E-06  -2.28405E-05   1.34374E-05   1.80803E-05  -3.09617E-05  -4.91877E-07   2.58853E-06  -1.99601E-07   2.17121E-06   9.16060E-08   6.95440E-08   1.50093E-07  -1.65461E-07  -2.05190E-07  -1.41312E-07   6.29037E-07  -9.49266E-07  -1.35000E-07   1.88176E-07  -1.53273E-08   6.99846E-08   7.27209E-07  -1.51216E-07  -1.12001E-06   1.69455E-06   2.45971E-07  -6.50765E-07   7.86182E-09  -8.03857E-08   9.29756E-08   1.24539E-07  -2.01211E-07   3.03638E-07   8.36081E-08  -7.53510E-08  -1.83838E-07   2.13155E-07   9.64401E-08  -1.41387E-07  -9.22510E-08   1.35542E-07  -1.05114E-07   3.08189E-08   2.15002E-07  -2.74250E-07  -1.34736E-07   2.31770E-07   1.98403E-08  -1.27695E-07  -2.67375E-08  -1.32318E-07   1.73582E-07  -1.79553E-07  -8.20715E-08   1.60996E-07   3.98074E-08  -4.83914E-08  -5.01512E-08   2.45083E-08   8.09609E-08  -1.47366E-07   1.37573E-09  -7.19582E-09   9.26966E-09  -8.66706E-09   3.56492E-08  -3.80102E-08  -6.97600E-09   7.31732E-08   6.12361E-09   5.33681E-08  -1.04581E-07   7.59722E-08   8.10942E-08  -1.27894E-07  -1.00477E-08   5.60003E-08  -4.34884E-09   4.04051E-08  -4.93718E-08   6.13281E-08   2.96895E-08  -3.88884E-08  -4.70316E-08   5.57386E-08   1.68649E-08  -1.29708E-08  -2.46819E-08   2.17884E-08  -7.03970E-09  -1.01530E-08   4.55894E-08  -3.68473E-08  -5.73896E-08   5.66999E-08   1.72555E-08  -6.98308E-08   2.75364E-08  -3.70779E-08   1.14849E-08   1.49780E-08  -3.90032E-08   4.08196E-08   4.05162E-08  -6.86661E-08  -2.48261E-08   7.86152E-09   4.12400E-08  -5.88722E-08  -1.70961E-09   1.10050E-08  -1.20876E-08   1.00870E-08   2.76808E-08  -2.45979E-08  -1.38633E-08   3.83308E-08  -2.35412E-08   1.19565E-08   1.15544E-08  -3.87011E-08   2.60643E-08  -1.28498E-08
   3.54276E-02   4.75442E-02   1.00261E+00  -6.49265E-07   2.50955E-07   7.06602E-07   5.69495E-06  -4.30328E-06  -8.22875E-07   1.18797E-05  -3.27050E-06  -2.74108E-05   1.53306E-05   2.59106E-05  -4.47476E-05  -1.40541E-08   3.23684E-06   5.50379E-07   2.66172E-06   2.22699E-07   6.93443E-07   1.43950E-07  -8.28324E-08   2.02095E-07  -5.62632E-08   8.45162E-08  -3.51787E-07   4.77210E-08   2.29067E-07  -1.24421E-07   5.59721E-09   3.15913E-07  -9.84783E-08  -7.81323E-07   1.08333E-06   2.48377E-07  -6.53755E-07  -2.17593E-07   1.66362E-07   5.39848E-07  -1.32632E-07  -8.26907E-07   1.27683E-06   1.02305E-07  -4.38722E-07   1.15603E-07  -2.19755E-07  -6.48516E-08   1.11828E-07  -1.37796E-08   8.23688E-08   1.25113E-08   6.67131E-08  -1.73384E-07   2.01686E-07   5.47050E-08  -1.04409E-07  -6.81058E-08   4.43612E-08  -6.68638E-08  -4.03687E-08   2.53155E-07  -3.43425E-07  -1.22215E-07   2.60043E-07   5.17348E-08  -1.25429E-07  -2.59973E-08  -1.15585E-07   2.18282E-07  -2.33588E-07  -7.65416E-08   1.98703E-07  -4.44255E-09   3.71646E-08  -3.52787E-08   3.18776E-09   4.40428E-08  -9.01822E-08  -4.33941E-08  -1.39788E-09   9.03728E-08  -1.10164E-07  -2.84696E-08   3.05733E-08   3.71832E-08  -3.07291E-08   3.67660E-08   1.62421E-08  -1.23332E-07   1.31407E-07   1.12581E-07  -1.53863E-07  -4.96046E-08   1.23905E-07  -1.83832E-08   8.30900E-08  -8.74222E-08   5.48095E-08   5.14434E-08  -1.04465E-07  -3.20655E-08   2.33010E-08   3.90805E-08  -3.53964E-08  -4.17278E-08   7.29662E-08   2.09238E-08  -2.11360E-08  -2.48257E-08   3.49573E-08  -5.18003E-09   3.35485E-09   5.23582E-09  -1.40903E-08  -2.25855E-08   5.00137E-09   5.98038E-08  -4.78893E-08  -8.00513E-08   8.76363E-08   3.71638E-08  -9.96956E-08   1.80954E-08  -4.09337E-08   2.52045E-08  -7.76485E-09  -2.70114E-08   4.44439E-08   2.68118E-08  -3.91783E-08  -2.55273E-08   1.81993E-08
   3.98673E-02   5.34787E-02   1.00322E+00  -6.27695E-07   4.56899E-07   2.04416E-06   3.87937E-06  -3.98615E-06  -1.26023E-06   1.03457E-05  -1.74381E-06  -2.96480E-05   1.60122E-05   3.28550E-05  -5.87292E-05   2.07741E-06   3.10896E-06   1.62175E-07   4.76019E-06   7.90557E-07   1.12938E-06  -1.02080E-07  -1.53565E-08   4.11324E-07  -1.40506E-07  -5.46738E-07   7.33467E-07   8.45712E-08  -2.28182E-07   1.00841E-07  -1.65504E-07  -6.03968E-07   1.21130E-07   6.42555E-07  -7.93832E-07  -1.26732E-08   6.57897E-08  -1.98982E-08   2.36287E-08   6.75259E-07   6.93407E-08  -1.43664E-06   2.12769E-06   3.33608E-07  -7.78870E-07  -2.99727E-07   7.43498E-08   2.08343E-07  -1.19316E-07  -3.63414E-07   5.31730E-07  -4.75313E-08  -1.83611E-07   1.63527E-07  -2.35436E-07  -4.91505E-08   6.01760E-08   3.80773E-08   1.70887E-08   2.36273E-08   1.17234E-07  -2.07800E-07   2.20699E-07   1.01057E-07  -1.35285E-07  -1.07924E-07   8.23317E-08  -5.55224E-08  -1.10163E-07   3.24584E-07  -4.12978E-07  -1.71445E-07   3.19889E-07   9.37907E-08  -9.55269E-08  -9.29273E-08  -5.50934E-08   2.80172E-07  -3.50278E-07  -9.52006E-08   2.33293E-07  -2.59302E-08   2.47002E-08   5.75896E-08  -8.23297E-08  -8.78088E-09  -2.46487E-08   1.00073E-08  -3.13320E-08   7.74685E-08  -5.77285E-08  -6.04654E-08   8.94965E-08   4.17340E-08  -5.08962E-08  -1.69975E-08   2.04217E-08  -4.22222E-08   2.85374E-08   6.75980E-08  -1.22831E-07  -2.69881E-08   6.73567E-08   4.10270E-08   5.42348E-08  -1.63255E-07   1.68305E-07   9.91788E-08  -1.74723E-07  -2.89011E-08   6.61229E-08  -2.78280E-08   6.30442E-08  -3.57428E-08   3.65875E-08  -2.96559E-09  -3.65925E-08  -1.54025E-08  -1.34012E-08   3.95287E-08  -5.53770E-08  -2.47586E-08   5.70123E-08   8.71801E-09   1.00686E-08  -1.55073E-08   1.76839E-08  -1.97458E-08   3.02724E-08  -6.96772E-09  -2.33712E-08  -5.29655E-09  -3.69964E-08
