  time  amplitude  omega  amp_cos  amp_sin
   2.87506E+02   3.37238E-05   3.17827E-01   1.10150E-05  -3.18742E-05
   2.91289E+02   3.82702E-05   3.17136E-01   3.82421E-05  -1.46723E-06
   2.95072E+02   4.33159E-05   3.16696E-01   1.73095E-05   3.97070E-05
   2.98855E+02   4.89157E-05   3.19507E-01  -3.50078E-05   3.41643E-05
   3.02638E+02   5.54711E-05   3.16785E-01  -5.05321E-05  -2.28813E-05
   3.06421E+02   6.24888E-05   3.17839E-01   3.54531E-06  -6.23881E-05
   3.10204E+02   7.09334E-05   3.18531E-01   6.75730E-05  -2.15738E-05
   3.13987E+02   8.00707E-05   3.16903E-01   5.04101E-05   6.22104E-05
   3.17770E+02   9.03663E-05   3.17336E-01  -4.48599E-05   7.84452E-05
   3.21553E+02   1.02421E-04   3.17142E-01  -1.01295E-04  -1.51452E-05
   3.25336E+02   1.15923E-04   3.16743E-01  -2.57671E-05  -1.13023E-04
   3.29119E+02   1.30958E-04   3.18476E-01   1.08807E-04  -7.28776E-05
   3.32902E+02   1.48053E-04   3.17767E-01   1.21186E-04   8.50502E-05
   3.36685E+02   1.67288E-04   3.17167E-01  -3.99243E-05   1.62454E-04
   3.40468E+02   1.88635E-04   3.18328E-01  -1.87149E-04   2.36283E-05
   3.44250E+02   2.12572E-04   3.18252E-01  -1.00501E-04  -1.87314E-04
   3.48033E+02   2.39480E-04   3.17128E-01   1.55599E-04  -1.82043E-04
   3.51816E+02   2.69859E-04   3.17775E-01   2.54539E-04   8.96316E-05
   3.55599E+02   3.04033E-04   3.18689E-01   8.09533E-06   3.03926E-04
   3.59382E+02   3.42384E-04   3.17122E-01  -3.15654E-04   1.32624E-04
   3.63165E+02   3.85887E-04   3.18969E-01  -2.66379E-04  -2.79198E-04
   3.66948E+02   4.33680E-04   3.18744E-01   1.86247E-04  -3.91651E-04
   3.70731E+02   4.84282E-04   3.18908E-01   4.82752E-04   3.84682E-05
   3.74514E+02   5.42638E-04   3.18789E-01   1.52728E-04   5.20701E-04
   3.78297E+02   6.05326E-04   3.19677E-01  -4.83068E-04   3.64781E-04
   3.82080E+02   6.73039E-04   3.19333E-01  -5.69789E-04  -3.58220E-04
   3.85863E+02   7.47871E-04   3.20178E-01   1.49808E-04  -7.32713E-04
   3.89646E+02   8.25202E-04   3.19997E-01   8.14847E-04  -1.30314E-04
   3.93429E+02   9.08598E-04   3.20843E-01   4.48020E-04   7.90461E-04
   3.97212E+02   9.96330E-04   3.20230E-01  -6.38637E-04   7.64733E-04
   4.00995E+02   1.08539E-03   3.22863E-01  -1.02093E-03  -3.68474E-04
   4.04778E+02   1.17667E-03   3.21133E-01  -1.12830E-05  -1.17662E-03
   4.08561E+02   1.26962E-03   3.22973E-01   1.18886E-03  -4.45574E-04
   4.12344E+02   1.36227E-03   3.24649E-01   8.78892E-04   1.04083E-03
   4.16127E+02   1.45292E-03   3.23358E-01  -7.24463E-04   1.25942E-03
   4.19910E+02   1.52725E-03   3.25843E-01  -1.50151E-03  -2.79235E-04
   4.23693E+02   1.60892E-03   3.23684E-01  -2.60207E-04  -1.58774E-03
   4.27476E+02   1.68341E-03   3.26212E-01   1.47799E-03  -8.05868E-04
   4.31259E+02   1.74981E-03   3.23808E-01   1.30884E-03   1.16136E-03
