  time  amplitude  omega  amp_cos  amp_sin
   3.78297E+00   5.91502E-09   8.27092E-01  -5.91454E-09   7.52787E-11
   7.56594E+00   3.61334E-09   1.18514E-01  -3.27590E-09  -1.52469E-09
   1.13489E+01   3.46046E-09   5.71452E-01   2.96057E-09  -1.79159E-09
   1.51319E+01   6.99529E-09   1.83352E-01   6.91734E-09   1.04132E-09
   1.89149E+01   5.05672E-09   2.85494E-01   1.69286E-09   4.76494E-09
   2.26978E+01   7.36525E-09   3.71599E-01  -6.44084E-09   3.57246E-09
   2.64808E+01   7.38960E-09   2.64260E-01  -6.50867E-09  -3.49907E-09
   3.02638E+01   7.88848E-09   3.64344E-01   2.33708E-09  -7.53434E-09
   3.40468E+01   9.89202E-09   2.91868E-01   9.75623E-09  -1.63345E-09
   3.78297E+01   9.59939E-09   3.13782E-01   5.01467E-09   8.18544E-09
   4.16127E+01   1.13475E-08   3.37522E-01  -7.54344E-09   8.47719E-09
   4.53957E+01   1.25116E-08   3.02707E-01  -1.19471E-08  -3.71555E-09
   4.91786E+01   1.36386E-08   3.40511E-01   2.57257E-10  -1.36362E-08
   5.29616E+01   1.62698E-08   3.14379E-01   1.52116E-08  -5.77171E-09
   5.67446E+01   1.76001E-08   3.16514E-01   1.18165E-08   1.30435E-08
   6.05276E+01   2.00157E-08   3.24815E-01  -9.46730E-09   1.76351E-08
   6.43105E+01   2.25316E-08   3.13332E-01  -2.24022E-08  -2.41115E-09
   6.80935E+01   2.53334E-08   3.26366E-01  -5.74940E-09  -2.46723E-08
   7.18765E+01   2.94629E-08   3.16617E-01   2.42837E-08  -1.66843E-08
   7.56594E+01   3.27904E-08   3.16634E-01   2.71400E-08   1.84019E-08
   7.94424E+01   3.72225E-08   3.20385E-01  -8.74089E-09   3.61816E-08
   8.32254E+01   4.19832E-08   3.16863E-01  -4.16008E-08   5.65349E-09
   8.70084E+01   4.76756E-08   3.20266E-01  -2.26184E-08  -4.19687E-08
   9.07913E+01   5.39771E-08   3.16618E-01   3.49152E-08  -4.11638E-08
   9.45743E+01   6.08158E-08   3.17075E-01   5.74920E-08   1.98300E-08
   9.83573E+01   6.90186E-08   3.17737E-01   2.53012E-09   6.89722E-08
   1.02140E+02   7.75951E-08   3.17265E-01  -7.12485E-08   3.07350E-08
   1.05923E+02   8.82556E-08   3.17939E-01  -6.17729E-08  -6.30331E-08
   1.09706E+02   9.94811E-08   3.16936E-01   4.08965E-08  -9.06861E-08
   1.13489E+02   1.12314E-07   3.18068E-01   1.12137E-07   6.29793E-09
   1.17272E+02   1.26871E-07   3.16944E-01   3.93915E-08   1.20601E-07
   1.21055E+02   1.42885E-07   3.16663E-01  -1.10329E-07   9.07944E-08
   1.24838E+02   1.62334E-07   3.17647E-01  -1.41432E-07  -7.96832E-08
   1.28621E+02   1.83185E-07   3.16181E-01   2.52687E-08  -1.81434E-07
   1.32404E+02   2.07226E-07   3.18387E-01   2.01865E-07  -4.68323E-08
   1.36187E+02   2.33128E-07   3.16245E-01   1.32098E-07   1.92090E-07
   1.39970E+02   2.62384E-07   3.18739E-01  -1.48881E-07   2.16055E-07
   1.43753E+02   2.95803E-07   3.16015E-01  -2.88145E-07  -6.68735E-08
   1.47536E+02   3.33207E-07   3.16297E-01  -4.85439E-08  -3.29652E-07
   1.51319E+02   3.74790E-07   3.18053E-01   3.26395E-07  -1.84212E-07
   1.55102E+02   4.25907E-07   3.16313E-01   3.30427E-07   2.68729E-07
   1.58885E+02   4.76890E-07   3.18465E-01  -1.48534E-07   4.53168E-07
   1.62668E+02   5.39049E-07   3.16812E-01  -5.38217E-07   2.99400E-08
   1.66451E+02   6.07556E-07   3.17012E-01  -2.51681E-07  -5.52974E-07
   1.70234E+02   6.87348E-07   3.17061E-01   4.79626E-07  -4.92347E-07
   1.74017E+02   7.74993E-07   3.16583E-01   7.14075E-07   3.01183E-07
   1.77800E+02   8.71680E-07   3.17733E-01  -2.64266E-08   8.71279E-07
   1.81583E+02   9.88770E-07   3.16287E-01  -9.30851E-07   3.33439E-07
   1.85366E+02   1.10791E-06   3.17559E-01  -7.25063E-07  -8.37698E-07
   1.89149E+02   1.25037E-06   3.17249E-01   5.84812E-07  -1.10518E-06
   1.92932E+02   1.40751E-06   3.16875E-01   1.39828E-06   1.60992E-07
   1.96715E+02   1.58530E-06   3.16375E-01   4.06517E-07   1.53229E-06
   2.00498E+02   1.79266E-06   3.17717E-01  -1.45041E-06   1.05354E-06
   2.04281E+02   2.02344E-06   3.17673E-01  -1.69965E-06  -1.09794E-06
   2.08063E+02   2.26384E-06   3.17542E-01   4.58622E-07  -2.21690E-06
   2.11846E+02   2.56645E-06   3.16292E-01   2.52933E-06  -4.34892E-07
   2.15629E+02   2.89065E-06   3.17202E-01   1.48892E-06   2.47769E-06
   2.19412E+02   3.26540E-06   3.17142E-01  -1.99855E-06   2.58237E-06
   2.23195E+02   3.67566E-06   3.17060E-01  -3.52504E-06  -1.04143E-06
   2.26978E+02   4.13775E-06   3.16611E-01  -3.54587E-07  -4.12253E-06
   2.30761E+02   4.66940E-06   3.17500E-01   4.19331E-06  -2.05414E-06
   2.34544E+02   5.26942E-06   3.17751E-01   3.86799E-06   3.57847E-06
   2.38327E+02   5.94140E-06   3.17390E-01  -2.18401E-06   5.52543E-06
   2.42110E+02   6.68133E-06   3.16971E-01  -6.68126E-06  -3.14866E-08
   2.45893E+02   7.56441E-06   3.17141E-01  -2.70963E-06  -7.06245E-06
   2.49676E+02   8.53781E-06   3.17816E-01   6.33445E-06  -5.72442E-06
   2.53459E+02   9.58312E-06   3.16355E-01   8.57884E-06   4.27080E-06
   2.57242E+02   1.08865E-05   3.18189E-01  -1.03065E-06   1.08376E-05
   2.61025E+02   1.22516E-05   3.16152E-01  -1.17745E-05   3.38567E-06
   2.64808E+02   1.38883E-05   3.18711E-01  -8.35085E-06  -1.10972E-05
   2.68591E+02   1.56907E-05   3.15549E-01   8.18261E-06  -1.33882E-05
   2.72374E+02   1.77464E-05   3.17236E-01   1.74663E-05   3.14041E-06
   2.76157E+02   2.00927E-05   3.18947E-01   3.72224E-06   1.97449E-05
   2.79940E+02   2.26911E-05   3.17331E-01  -1.92651E-05   1.19891E-05
   2.83723E+02   2.54968E-05   3.17486E-01  -2.03842E-05  -1.53158E-05
   2.87506E+02   2.87077E-05   3.18175E-01   7.85682E-06  -2.76116E-05
   2.91289E+02   3.22788E-05   3.15214E-01   3.21139E-05  -3.25882E-06
   2.95072E+02   3.66375E-05   3.18326E-01   1.65177E-05   3.27028E-05
   2.98855E+02   4.12167E-05   3.17495E-01  -2.75893E-05   3.06209E-05
   3.02638E+02   4.65254E-05   3.16906E-01  -4.35197E-05  -1.64512E-05
   3.06421E+02   5.25220E-05   3.18116E-01  -3.12969E-07  -5.25211E-05
   3.10204E+02   5.92007E-05   3.17576E-01   5.50786E-05  -2.17041E-05
   3.13987E+02   6.65627E-05   3.17411E-01   4.51477E-05   4.89109E-05
   3.17770E+02   7.50899E-05   3.17302E-01  -3.29947E-05   6.74525E-05
   3.21553E+02   8.44725E-05   3.16734E-01  -8.41864E-05  -6.94713E-06
   3.25336E+02   9.56703E-05   3.18320E-01  -2.68310E-05  -9.18308E-05
   3.29119E+02   1.07318E-04   3.17588E-01   8.51970E-05  -6.52574E-05
   3.32902E+02   1.20588E-04   3.17540E-01   1.02955E-04   6.27836E-05
   3.36685E+02   1.36156E-04   3.18364E-01  -2.45331E-05   1.33927E-04
   3.40468E+02   1.53205E-04   3.16691E-01  -1.50402E-04   2.91734E-05
   3.44250E+02   1.72793E-04   3.17771E-01  -9.18245E-05  -1.46375E-04
   3.48033E+02   1.94953E-04   3.18035E-01   1.16870E-04  -1.56038E-04
   3.51816E+02   2.19115E-04   3.17506E-01   2.10990E-04   5.91139E-05
   3.55599E+02   2.46900E-04   3.17673E-01   2.36364E-05   2.45766E-04
   3.59382E+02   2.76696E-04   3.17810E-01  -2.47391E-04   1.23931E-04
   3.63165E+02   3.11146E-04   3.17919E-01  -2.30134E-04  -2.09404E-04
   3.66948E+02   3.48301E-04   3.17129E-01   1.25029E-04  -3.25087E-04
   3.70731E+02   3.90846E-04   3.17570E-01   3.90845E-04  -8.89147E-07
   3.74514E+02   4.37384E-04   3.19037E-01   1.56599E-04   4.08389E-04
   3.78297E+02   4.91332E-04   3.16952E-01  -3.63515E-04   3.30551E-04
   3.82080E+02   5.46958E-04   3.20951E-01  -4.86103E-04  -2.50732E-04
   3.85863E+02   6.09237E-04   3.20108E-01   7.07375E-05  -6.05116E-04
   3.89646E+02   6.74008E-04   3.18843E-01   6.53345E-04  -1.65610E-04
   3.93429E+02   7.45158E-04   3.21016E-01   4.23604E-04   6.13041E-04
   3.97212E+02   8.19643E-04   3.19069E-01  -4.64411E-04   6.75379E-04
   4.00995E+02   9.02302E-04   3.21047E-01  -8.75118E-04  -2.19813E-04
   4.04778E+02   9.85136E-04   3.21879E-01  -1.05255E-04  -9.79497E-04
   4.08561E+02   1.07094E-03   3.20029E-01   9.56180E-04  -4.82325E-04
   4.12344E+02   1.14977E-03   3.22886E-01   8.37910E-04   7.87327E-04
   4.16127E+02   1.24158E-03   3.21373E-01  -4.82615E-04   1.14394E-03
   4.19910E+02   1.32201E-03   3.21914E-01  -1.32060E-03  -6.10923E-05
   4.23693E+02   1.40751E-03   3.24881E-01  -4.09961E-04  -1.34648E-03
   4.27476E+02   1.49393E-03   3.23746E-01   1.19682E-03  -8.94114E-04
   4.31259E+02   1.55751E-03   3.24847E-01   1.29657E-03   8.62996E-04
   4.35042E+02   1.63334E-03   3.25694E-01  -4.01817E-04   1.58314E-03
   4.38825E+02   1.69685E-03   3.23896E-01  -1.68888E-03   1.64243E-04
   4.42608E+02   1.76026E-03   3.28174E-01  -7.27822E-04  -1.60274E-03
   4.46391E+02   1.80412E-03   3.25831E-01   1.30215E-03  -1.24871E-03
   4.50174E+02   1.85808E-03   3.25775E-01   1.65833E-03   8.38097E-04
   4.53957E+02   1.91439E-03   3.26623E-01  -2.53403E-04   1.89755E-03
   4.57740E+02   1.93766E-03   3.26367E-01  -1.89771E-03   3.91409E-04
   4.61523E+02   1.99525E-03   3.27862E-01  -1.01538E-03  -1.71757E-03
   4.65306E+02   2.02928E-03   3.26370E-01   1.30845E-03  -1.55111E-03
   4.69089E+02   2.04314E-03   3.29589E-01   1.89983E-03   7.51714E-04
   4.72872E+02   2.06104E-03   3.27837E-01  -9.51339E-05   2.05884E-03
