  time  amplitude  omega  amp_cos  amp_sin
   3.78297E+00   6.10401E-09   8.30454E-01  -6.10401E-09   5.20999E-14
   7.56594E+00   3.77970E-09   1.31752E-01  -3.31988E-09  -1.80679E-09
   1.13489E+01   3.69648E-09   5.53385E-01   3.15183E-09  -1.93130E-09
   1.51319E+01   7.13811E-09   1.91679E-01   7.02862E-09   1.24541E-09
   1.89149E+01   5.20168E-09   2.93936E-01   1.45487E-09   4.99408E-09
   2.26978E+01   7.59987E-09   3.74431E-01  -6.88307E-09   3.22201E-09
   2.64808E+01   7.66146E-09   2.68977E-01  -6.40969E-09  -4.19688E-09
   3.02638E+01   8.19506E-09   3.60982E-01   2.99790E-09  -7.62703E-09
   3.40468E+01   1.00981E-08   2.94497E-01   1.00640E-08  -8.29246E-10
   3.78297E+01   9.80963E-09   3.16833E-01   4.30599E-09   8.81404E-09
   4.16127E+01   1.15682E-08   3.39487E-01  -8.53528E-09   7.80854E-09
   4.53957E+01   1.27283E-08   3.08106E-01  -1.15981E-08  -5.24346E-09
   4.91786E+01   1.39018E-08   3.39671E-01   1.92293E-09  -1.37682E-08
   5.29616E+01   1.64308E-08   3.16068E-01   1.59740E-08  -3.84742E-09
   5.67446E+01   1.76046E-08   3.20849E-01   9.84400E-09   1.45952E-08
   6.05276E+01   2.01089E-08   3.26766E-01  -1.20534E-08   1.60960E-08
   6.43105E+01   2.23991E-08   3.17600E-01  -2.15669E-08  -6.04876E-09
   6.80935E+01   2.53296E-08   3.29777E-01  -1.26138E-09  -2.52981E-08
   7.18765E+01   2.92945E-08   3.17889E-01   2.67718E-08  -1.18929E-08
   7.56594E+01   3.24339E-08   3.19431E-01   2.28204E-08   2.30476E-08
   7.94424E+01   3.67517E-08   3.24427E-01  -1.58816E-08   3.31431E-08
   8.32254E+01   4.12423E-08   3.19573E-01  -4.10934E-08  -3.50113E-09
   8.70084E+01   4.62429E-08   3.22518E-01  -1.21439E-08  -4.46198E-08
   9.07913E+01   5.27300E-08   3.19673E-01   4.26938E-08  -3.09466E-08
   9.45743E+01   5.89528E-08   3.18848E-01   4.93446E-08   3.22575E-08
   9.83573E+01   6.65199E-08   3.20105E-01  -1.44604E-08   6.49291E-08
   1.02140E+02   7.48781E-08   3.21200E-01  -7.41809E-08   1.01943E-08
   1.05923E+02   8.39162E-08   3.19069E-01  -4.02563E-08  -7.36298E-08
   1.09706E+02   9.51892E-08   3.21863E-01   6.25701E-08  -7.17354E-08
   1.13489E+02   1.06320E-07   3.18414E-01   9.98372E-08   3.65585E-08
   1.17272E+02   1.20034E-07   3.19577E-01   1.29978E-09   1.20027E-07
   1.21055E+02   1.34493E-07   3.20966E-01  -1.25517E-07   4.83111E-08
   1.24838E+02   1.50525E-07   3.18202E-01  -1.00881E-07  -1.11718E-07
   1.28621E+02   1.69750E-07   3.18641E-01   7.70199E-08  -1.51271E-07
   1.32404E+02   1.91095E-07   3.19733E-01   1.89946E-07   2.09186E-08
   1.36187E+02   2.14248E-07   3.20379E-01   5.28242E-08   2.07634E-07
   1.39970E+02   2.40737E-07   3.19327E-01  -1.97055E-07   1.38288E-07
   1.43753E+02   2.70402E-07   3.19720E-01  -2.23541E-07  -1.52139E-07
   1.47536E+02   3.02568E-07   3.20436E-01   7.16213E-08  -2.93969E-07
   1.51319E+02   3.41390E-07   3.19157E-01   3.38749E-07  -4.23784E-08
   1.55102E+02   3.81416E-07   3.19910E-01   1.77833E-07   3.37422E-07
   1.58885E+02   4.30961E-07   3.20550E-01  -2.86621E-07   3.21832E-07
   1.62668E+02   4.82862E-07   3.19268E-01  -4.51126E-07  -1.72167E-07
   1.66451E+02   5.41731E-07   3.20839E-01   4.06746E-09  -5.41715E-07
   1.70234E+02   6.10580E-07   3.19333E-01   5.72453E-07  -2.12381E-07
   1.74017E+02   6.81975E-07   3.20777E-01   4.45861E-07   5.16041E-07
   1.77800E+02   7.67187E-07   3.19890E-01  -3.66170E-07   6.74162E-07
   1.81583E+02   8.62363E-07   3.20286E-01  -8.54116E-07  -1.18975E-07
   1.85366E+02   9.63326E-07   3.20582E-01  -2.09886E-07  -9.40183E-07
   1.89149E+02   1.08303E-06   3.19185E-01   9.04153E-07  -5.96214E-07
   1.92932E+02   1.21867E-06   3.19708E-01   9.87239E-07   7.14500E-07
   1.96715E+02   1.36873E-06   3.20872E-01  -3.64468E-07   1.31931E-06
   2.00498E+02   1.53530E-06   3.19788E-01  -1.52888E-06   1.40306E-07
   2.04281E+02   1.72913E-06   3.19943E-01  -7.55186E-07  -1.55551E-06
   2.08063E+02   1.93614E-06   3.21409E-01   1.33932E-06  -1.39816E-06
   2.11846E+02   2.17789E-06   3.19490E-01   2.00450E-06   8.51591E-07
   2.15629E+02   2.44070E-06   3.20580E-01  -1.06584E-07   2.43837E-06
   2.19412E+02   2.74225E-06   3.19693E-01  -2.60500E-06   8.56692E-07
   2.23195E+02   3.08125E-06   3.20204E-01  -1.93074E-06  -2.40132E-06
   2.26978E+02   3.45954E-06   3.20358E-01   1.76296E-06  -2.97664E-06
   2.30761E+02   3.87730E-06   3.20151E-01   3.81806E-06   6.75208E-07
   2.34544E+02   4.34947E-06   3.19423E-01   8.10296E-07   4.27332E-06
   2.38327E+02   4.90351E-06   3.20300E-01  -4.18930E-06   2.54836E-06
   2.42110E+02   5.48127E-06   3.20115E-01  -4.31505E-06  -3.38004E-06
   2.45893E+02   6.16583E-06   3.20719E-01   1.86307E-06  -5.87763E-06
   2.49676E+02   6.92394E-06   3.17803E-01   6.91081E-06  -4.26226E-07
   2.53459E+02   7.78410E-06   3.22191E-01   3.12818E-06   7.12788E-06
   2.57242E+02   8.76534E-06   3.20427E-01  -6.27939E-06   6.11559E-06
   2.61025E+02   9.78296E-06   3.20391E-01  -8.85178E-06  -4.16561E-06
   2.64808E+02   1.09978E-05   3.18877E-01   8.27934E-07  -1.09666E-05
   2.68591E+02   1.23852E-05   3.21223E-01   1.19020E-05  -3.42586E-06
   2.72374E+02   1.38926E-05   3.18346E-01   8.37179E-06   1.10868E-05
   2.76157E+02   1.56637E-05   3.21082E-01  -8.42461E-06   1.32052E-05
   2.79940E+02   1.75430E-05   3.19468E-01  -1.71735E-05  -3.58180E-06
   2.83723E+02   1.97949E-05   3.19826E-01  -3.06153E-06  -1.95567E-05
   2.87506E+02   2.21574E-05   3.20540E-01   1.92999E-05  -1.08841E-05
   2.91289E+02   2.49202E-05   3.19887E-01   1.91139E-05   1.59899E-05
   2.95072E+02   2.80624E-05   3.19305E-01  -9.19330E-06   2.65137E-05
   2.98855E+02   3.14488E-05   3.20460E-01  -3.14392E-05   7.77961E-07
   3.02638E+02   3.53651E-05   3.20317E-01  -1.32419E-05  -3.27925E-05
   3.06421E+02   3.98011E-05   3.18986E-01   2.91798E-05  -2.70678E-05
   3.10204E+02   4.44819E-05   3.20258E-01   3.97856E-05   1.98934E-05
   3.13987E+02   5.01708E-05   3.20196E-01  -5.21615E-06   4.98989E-05
   3.17770E+02   5.62045E-05   3.19631E-01  -5.43517E-05   1.43124E-05
   3.21553E+02   6.30231E-05   3.19950E-01  -3.65117E-05  -5.13693E-05
