  r/a  gpsi_sqrt  q  m=0cos  m=0sin  m=1cos  m=1sin  m=2cos  m=2sin  m=3cos  m=3sin  m=4cos  m=4sin  m=5cos  m=5sin  m=6cos  m=6sin  m=7cos  m=7sin  m=8cos  m=8sin  m=9cos  m=9sin  m=10cos  m=10sin  m=11cos  m=11sin  m=12cos  m=12sin  m=13cos  m=13sin  m=14cos  m=14sin  m=15cos  m=15sin  m=16cos  m=16sin  m=17cos  m=17sin  m=18cos  m=18sin  m=19cos  m=19sin  m=20cos  m=20sin  m=21cos  m=21sin  m=22cos  m=22sin  m=23cos  m=23sin  m=24cos  m=24sin  m=25cos  m=25sin  m=26cos  m=26sin  m=27cos  m=27sin  m=28cos  m=28sin  m=29cos  m=29sin  m=30cos  m=30sin  m=31cos  m=31sin  m=32cos  m=32sin  m=33cos  m=33sin  m=34cos  m=34sin  m=35cos  m=35sin  m=36cos  m=36sin  m=37cos  m=37sin  m=38cos  m=38sin  m=39cos  m=39sin  m=40cos  m=40sin  m=41cos  m=41sin  m=42cos  m=42sin  m=43cos  m=43sin  m=44cos  m=44sin  m=45cos  m=45sin  m=46cos  m=46sin  m=47cos  m=47sin  m=48cos  m=48sin  m=49cos  m=49sin  m=50cos  m=50sin  m=51cos  m=51sin  m=52cos  m=52sin  m=53cos  m=53sin  m=54cos  m=54sin  m=55cos  m=55sin  m=56cos  m=56sin  m=57cos  m=57sin  m=58cos  m=58sin  m=59cos  m=59sin  m=60cos  m=60sin  m=61cos  m=61sin  m=62cos  m=62sin  m=63cos  m=63sin  m=64cos  m=64sin
   0.00000E+00   0.00000E+00   9.98748E-01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
   4.41306E-03   5.87772E-03   9.98748E-01   6.04631E-07  -5.66222E-07  -8.50713E-06   9.17088E-06   1.32465E-06  -2.51615E-07   6.51658E-07  -4.94881E-07  -3.38879E-07   2.43113E-07   7.61220E-08  -5.80083E-08   5.61559E-08  -3.97767E-08  -6.82445E-08   5.33510E-08   1.56750E-08  -1.27684E-08   2.55121E-08  -1.82412E-08  -2.76596E-08   2.23080E-08   2.03332E-09  -1.51328E-09   1.65644E-08  -1.23256E-08  -1.46758E-08   1.25364E-08  -1.38838E-09   1.14211E-09   1.08593E-08  -7.88356E-09  -7.54163E-09   6.66750E-09  -3.41001E-09   3.09138E-09   8.25386E-09  -6.15640E-09  -4.40613E-09   4.32223E-09  -3.44418E-09   3.06386E-09   5.60598E-09  -3.93962E-09  -1.80558E-09   2.07337E-09  -3.80585E-09   3.57149E-09   4.33071E-09  -3.07330E-09  -7.31617E-10   1.31547E-09  -3.23322E-09   3.05390E-09   2.72751E-09  -1.65606E-09   4.52180E-10   2.45287E-10  -3.14717E-09   3.14904E-09   2.02938E-09  -1.17867E-09   7.43598E-10   1.03655E-10  -2.45371E-09   2.54138E-09   1.01210E-09  -2.32611E-10   1.29032E-09  -4.21882E-10  -2.25477E-09   2.51993E-09   6.60145E-10   1.83424E-12   1.23033E-09  -2.81286E-10  -1.59028E-09   1.94130E-09  -7.44039E-12   6.62693E-10   1.47860E-09  -5.40765E-10  -1.37457E-09   1.88364E-09  -1.59662E-10   7.59870E-10   1.25421E-09  -2.64541E-10  -7.76595E-10   1.36347E-09  -5.85615E-10   1.21906E-09   1.33008E-09  -3.63039E-10  -5.88643E-10   1.31175E-09  -5.72173E-10   1.19638E-09   1.02310E-09  -2.15351E-11  -1.08780E-10   8.98780E-10  -7.88016E-10   1.47522E-09   1.00902E-09  -3.13531E-11   6.67942E-12   8.94830E-10  -6.52125E-10   1.36340E-09   7.01682E-10   3.05192E-10   3.57572E-10   5.97283E-10  -7.30611E-10   1.52048E-09   6.59928E-10   3.32783E-10   4.16076E-10   6.28204E-10  -5.35516E-10   1.36690E-09   3.84176E-10   6.40480E-10   6.67748E-10   4.18667E-10  -5.22756E-10   1.43828E-09   3.37146E-10   6.84553E-10
   8.83967E-03   1.17554E-02   9.99858E-01   9.64682E-07  -9.97484E-07  -7.23730E-06   8.61140E-06   1.39019E-06   3.93660E-07   2.18258E-06  -1.59494E-06  -9.98425E-07   7.42518E-07   3.40368E-08  -1.03371E-07   3.06664E-07  -2.42852E-07  -1.22736E-07   1.46175E-07  -1.19643E-07   9.28295E-08   1.05106E-07  -1.01923E-07   3.23055E-08  -1.93681E-08  -6.57764E-08   5.01035E-08   5.76018E-09  -9.05313E-09   3.22549E-08  -1.42048E-08  -1.71938E-08   1.48877E-08  -1.37567E-08   2.91122E-09   1.63032E-08  -1.01392E-08   7.57315E-09  -4.18143E-09  -1.37258E-08   7.86417E-09  -5.88877E-09   8.68948E-09   1.24355E-08  -7.51342E-09   2.50120E-09  -5.75833E-09  -1.18966E-08   9.78610E-09   3.66453E-09  -8.90913E-10   9.42044E-09  -8.20662E-09  -9.55078E-09   9.00708E-09  -4.71056E-09   5.08362E-09   1.17110E-08  -1.04824E-08  -9.55392E-10   9.61202E-10  -9.19661E-09   8.17697E-09   5.05263E-09  -3.87507E-09   4.26651E-09  -1.94189E-09  -6.41751E-09   5.66188E-09   9.99042E-11  -8.21194E-10   5.42026E-09  -3.46332E-09  -1.95718E-09   2.31243E-09  -3.55396E-09   2.65218E-09   2.04621E-09  -2.06571E-10   2.15454E-09  -7.93116E-10  -1.66784E-09   6.27972E-10  -1.31518E-09   1.70388E-09   2.26093E-09  -6.23691E-10   7.07022E-10  -5.52653E-10  -3.05582E-09   3.31219E-09   5.17747E-10   6.73889E-10   3.47494E-09  -2.86735E-09  -1.81781E-09   1.86107E-09  -2.21507E-09   2.79427E-09   3.00262E-09  -1.90340E-09   3.83455E-10   5.11756E-10  -2.86357E-09   3.08752E-09   1.67693E-09  -1.08646E-09   2.12596E-09  -1.00642E-09  -2.16458E-09   2.57144E-09  -5.86289E-10   9.67601E-10   2.06904E-09  -6.08787E-10  -1.41424E-10   9.58519E-10  -1.00758E-09   1.01253E-09   8.50553E-10   1.53124E-10   9.20865E-10   3.12916E-10  -6.08976E-10   9.47270E-10  -5.71527E-10   1.41523E-09   1.09308E-09   1.95992E-10   9.69960E-10  -4.04446E-10  -9.81682E-10   1.50299E-09
   1.32656E-02   1.76332E-02   1.00041E+00   1.11030E-06  -8.00741E-07  -6.12653E-06   7.79836E-06   1.80836E-06   5.42395E-07   3.28402E-06  -1.56951E-06  -2.35245E-06   1.77935E-06   7.99743E-07  -1.23136E-06   4.11968E-07  -2.34315E-07  -1.65276E-07   1.99302E-07  -3.31282E-08  -4.53110E-08  -7.34115E-08   1.26610E-07   9.62415E-08  -5.11053E-08  -9.05612E-08   9.13292E-08  -7.48746E-08   4.55860E-08   1.02584E-07  -9.70329E-08  -8.81263E-09   2.37539E-08  -4.74032E-09  -2.51103E-08   5.55703E-09  -1.11801E-08   2.28257E-08  -7.99559E-09   1.13550E-08  -8.69687E-09  -5.11559E-08   4.79315E-08   1.50423E-08  -1.33933E-08   9.24968E-09   4.32967E-09  -2.26444E-08   1.88071E-08   3.29073E-09  -1.26302E-08   5.81821E-09  -9.56340E-10   1.86047E-08  -1.85949E-08  -1.05924E-08   6.04846E-09  -4.01517E-09   1.79166E-09   1.83993E-08  -1.28886E-08  -1.25280E-08   1.68389E-08  -7.46009E-09   3.39929E-09  -1.44909E-10   3.16817E-09   3.10625E-09   8.68152E-10   7.44219E-10  -3.05881E-09  -8.94496E-09   6.33966E-09   1.28301E-08  -1.26687E-08   3.98161E-09  -1.51013E-09  -6.75541E-09   4.48942E-09   2.77701E-09  -3.41910E-09   6.13058E-11   4.51094E-09   7.31160E-10   2.28286E-10  -7.64812E-09   7.14905E-09  -3.84987E-10   1.07532E-09   7.22600E-09  -5.28512E-09  -5.09841E-09   4.78189E-09   1.38211E-09  -3.88455E-09   3.86345E-09  -2.27297E-09   1.93490E-09  -5.43191E-10  -1.05229E-09   3.20437E-10  -4.02727E-09   4.86493E-09   4.40078E-09  -2.33472E-09  -2.13669E-09   3.94813E-09  -4.33684E-09   3.58996E-09   2.91156E-09  -2.46217E-09   1.00466E-09   7.89985E-10   1.41459E-09  -2.14433E-09  -1.48475E-09   1.02996E-09   2.52332E-09  -1.53048E-09   2.95981E-09  -1.51210E-09  -4.20679E-09   4.69241E-09   3.78880E-10  -9.86525E-11   7.47816E-10   1.55710E-09  -8.33936E-10   1.80486E-09  -8.02078E-10   5.32914E-10  -3.65668E-10   1.09463E-09
   1.76935E-02   2.35109E-02   1.00071E+00   1.59842E-06  -1.21608E-06  -5.89157E-06   7.56084E-06   2.47827E-06  -4.11699E-08   4.07023E-06  -1.39008E-06  -4.37712E-06   2.89268E-06   1.82960E-06  -3.06816E-06   3.08640E-07  -2.92215E-07   8.40188E-08  -1.84080E-07  -5.98989E-08  -1.01971E-07   2.88177E-09   3.10642E-08   2.49027E-07  -9.38278E-08  -2.57348E-07   3.63266E-07  -2.25190E-08  -9.08777E-10  -1.77205E-08   6.39446E-08   7.89428E-09   1.78508E-08  -4.42062E-08   6.83681E-09  -6.06757E-08   6.52295E-09   1.12838E-07  -1.24949E-07  -2.79818E-08   4.22468E-08   1.74617E-08  -3.98383E-08  -7.39853E-09   7.83243E-09   4.51275E-08  -2.24492E-08  -2.72464E-10   1.44059E-08  -4.17286E-08   3.20058E-08   2.56411E-08  -3.35167E-08  -6.15121E-09   1.90184E-08  -3.58527E-09  -2.00151E-09  -2.43391E-08   1.64946E-08   9.24131E-09  -5.95835E-09   1.48535E-08  -1.28439E-09  -2.67912E-08   2.83727E-08   9.72704E-09  -1.71931E-08   3.26529E-10   4.18837E-09   1.63175E-08  -1.70840E-08  -1.41831E-08   5.57811E-09   4.79707E-09  -1.40197E-08   1.70664E-08  -1.37885E-08  -7.40751E-09   1.20675E-08  -6.70262E-10  -1.54502E-09  -7.12643E-09   1.19870E-08   1.09920E-08  -2.97267E-09  -1.19227E-08   1.57550E-08  -8.33266E-09   3.54773E-09   5.92179E-09  -7.44719E-09  -1.16622E-10   1.76977E-09   1.04650E-09  -5.83283E-09  -5.99951E-09   2.06374E-09   1.21070E-08  -1.13891E-08   2.19822E-09   2.47820E-09  -4.88234E-09   3.91935E-09   2.89906E-09  -3.68051E-09   8.52541E-10   2.64939E-09   3.78584E-09  -2.74203E-09  -1.07335E-08   8.49634E-09   4.16887E-09  -6.00563E-09   1.14085E-09   2.20352E-09  -2.58066E-09   3.66677E-09  -2.92204E-09   1.62841E-09  -4.76404E-11   1.59674E-09   6.09103E-09  -3.57804E-09  -5.64539E-09   5.44672E-09   1.08121E-09  -4.58537E-09   3.34751E-09  -3.37474E-09   2.56778E-09  -1.97056E-09  -1.07966E-09  -6.09791E-10
   2.21240E-02   2.96111E-02   1.00095E+00   1.16754E-06  -8.87245E-07  -5.23124E-06   7.00897E-06   2.09087E-06  -1.75540E-07   6.21583E-06  -2.78845E-06  -7.89810E-06   5.07603E-06   4.09755E-06  -6.50645E-06  -1.98761E-07   2.86906E-07   5.88537E-07  -6.41413E-07  -2.42036E-07   3.14961E-07   1.60964E-08   4.11443E-08   4.12239E-07  -1.61546E-07  -5.07680E-07   5.90310E-07   1.05350E-07  -2.88225E-07  -8.03014E-08   8.85853E-08   1.26519E-07  -8.68140E-08  -1.12652E-07   1.77854E-07  -5.90072E-08   5.64760E-08   6.24065E-08  -3.52946E-08  -2.46438E-08   6.55805E-08  -4.21765E-08  -1.89450E-08  -1.94371E-08  -3.89012E-08   9.37983E-08  -1.02572E-07  -2.34777E-08   4.58160E-08   2.17411E-08  -2.29503E-08  -3.21041E-08   2.45361E-08   6.29336E-08  -5.42931E-08  -2.09236E-08   2.44668E-08  -3.11241E-08   1.89132E-10   4.38989E-08  -4.98858E-08  -1.71459E-08   4.12614E-08   2.42906E-08  -6.40683E-09  -5.49010E-08   6.21431E-08   2.34163E-08  -2.90471E-08  -7.51397E-10   1.32528E-08  -2.35242E-08   1.30926E-08   4.21403E-09  -1.88009E-08   8.82045E-10   4.39957E-09   1.93840E-08  -1.00418E-08  -2.17992E-08   2.66762E-08   3.52022E-09  -1.68841E-08   6.80808E-09  -1.00515E-08   1.13433E-08  -1.28998E-08  -1.41814E-08   4.57415E-09   1.14423E-08  -1.49767E-08   8.79887E-09   5.92272E-11  -3.00563E-09   1.19692E-08  -4.06469E-09   2.57303E-09  -1.11645E-08   5.79329E-09   2.03243E-08  -1.83619E-08  -1.78893E-08   2.07878E-08   1.94809E-09  -6.36611E-09  -2.11267E-10   5.31915E-09   1.31189E-09   4.88611E-09  -5.30405E-10   2.61938E-09  -1.49908E-08   8.25017E-09   1.38279E-08  -2.01050E-08  -1.63542E-09   4.43698E-09   4.81082E-10  -4.04881E-09  -2.16033E-09   8.49325E-10   7.03692E-09  -5.08234E-09   1.69785E-09   1.07642E-09  -4.77515E-09   2.36907E-09  -6.39263E-10  -5.96186E-09   5.71277E-09  -4.81974E-09   2.50331E-09   7.74922E-10
   2.65561E-02   3.65791E-02   1.00144E+00   5.90123E-07  -4.39339E-07  -3.78426E-06   5.48966E-06   1.07808E-06   2.11817E-07   7.92555E-06  -3.44718E-06  -1.19179E-05   7.59863E-06   7.65956E-06  -1.22642E-05  -3.33229E-07   8.78862E-07  -2.26288E-08   4.92179E-07  -1.00839E-08   1.40506E-07   2.11898E-07  -2.79502E-07   1.19013E-07  -9.95993E-08  -2.69872E-07   3.11793E-07   1.92363E-08  -2.07219E-07  -7.96064E-08   1.45680E-07   2.72893E-07  -1.39001E-08  -3.47671E-07   4.42622E-07   9.38250E-08  -1.73787E-07  -1.18387E-07   1.08046E-07   8.97264E-08  -1.04279E-07  -7.78582E-08   1.30367E-07  -6.00888E-08   5.03487E-08   1.43087E-07  -1.50594E-07  -5.90493E-08   1.12817E-07  -3.40759E-08  -2.57681E-08  -5.29900E-09  -7.18484E-08   9.97657E-08  -8.97012E-08  -6.72494E-08   9.61528E-08   7.89634E-08  -9.37212E-08  -5.09631E-08   4.42945E-08   3.55307E-08  -5.71384E-08   1.87412E-08  -1.37452E-08  -5.77632E-08   5.02424E-08   4.34789E-08  -5.38493E-08   1.68193E-08   1.97389E-08  -1.41374E-08   3.21270E-08  -4.69637E-08   3.42435E-08   4.12974E-08  -5.27026E-08  -3.69599E-08   5.02593E-08   2.12078E-08  -9.70606E-09  -2.34243E-08   2.85892E-08   8.21979E-09  -1.20555E-08   8.23895E-09   3.11511E-09  -2.91219E-08   2.21970E-08   8.67402E-09  -2.95592E-08   2.16634E-09   1.35929E-09   2.42079E-08  -1.92663E-08  -2.12446E-08   2.25731E-08   1.17586E-08  -2.22764E-08  -7.04714E-09  -3.40200E-09   2.06820E-08  -2.13534E-08  -1.96377E-08   2.04382E-08   1.24804E-08  -2.25648E-08   1.71733E-08  -7.90076E-09  -2.03824E-08   2.85972E-08   5.81880E-09  -1.58380E-08  -1.03594E-08   8.54753E-09   1.01711E-08  -8.30002E-09  -4.57458E-09   1.17865E-08   2.48455E-09   1.67357E-09  -1.71448E-08   1.60393E-08   1.71654E-08  -1.68831E-08  -1.58979E-08   1.95142E-08  -6.92824E-09  -1.25142E-09   1.67649E-08  -1.81383E-08  -7.53086E-09   1.39896E-08
   3.09905E-02   4.24174E-02   1.00204E+00  -8.19900E-09   1.91545E-08  -1.74154E-06   3.20037E-06  -2.30612E-07   9.32403E-07   8.43928E-06  -2.53138E-06  -1.57406E-05   9.74979E-06   1.24500E-05  -1.99577E-05  -7.46411E-07   1.72238E-06  -1.76255E-07   1.18758E-06   7.07513E-08  -3.83309E-09   9.76719E-08  -6.36592E-08  -1.43788E-07  -7.44507E-08   4.05469E-07  -5.89968E-07  -1.21743E-07   1.27516E-07  -1.86816E-08   3.40787E-08   4.89365E-07  -1.44373E-07  -8.03904E-07   1.11365E-06   1.89848E-07  -4.34668E-07   2.37681E-09  -3.00136E-08   7.35626E-08   6.92707E-08  -1.34247E-07   1.97243E-07   5.94493E-08  -4.12967E-08  -1.29806E-07   1.38137E-07   6.83093E-08  -9.90768E-08  -6.39519E-08   8.83528E-08  -6.13863E-08   2.17474E-08   1.62411E-07  -1.81346E-07  -9.59961E-08   1.62277E-07   1.66437E-08  -8.51369E-08  -2.15438E-08  -7.64042E-08   1.19425E-07  -1.23090E-07  -5.83821E-08   9.85094E-08   3.03979E-08  -3.16782E-08  -3.52289E-08   2.19622E-08   5.74218E-08  -9.56084E-08  -3.31981E-09  -1.55700E-09   2.83200E-09  -6.07377E-09   2.43485E-08  -2.93111E-08  -8.38832E-09   4.78876E-08   2.19850E-09   2.97631E-08  -7.35236E-08   5.34076E-08   5.83094E-08  -8.26733E-08  -8.03755E-09   3.58576E-08  -2.25566E-09   2.41446E-08  -3.60625E-08   4.23834E-08   2.06434E-08  -2.70502E-08  -3.32582E-08   3.63272E-08   1.25331E-08  -9.40308E-09  -1.48657E-08   1.40754E-08  -1.96688E-09  -4.14694E-09   3.22832E-08  -2.43592E-08  -4.12199E-08   3.93031E-08   1.28891E-08  -4.51455E-08   1.86347E-08  -2.40976E-08   8.83171E-09   7.14324E-09  -2.65383E-08   2.79286E-08   2.92489E-08  -4.36951E-08  -1.76041E-08   7.51595E-09   2.84343E-08  -3.88580E-08  -2.95726E-09   6.99403E-09  -8.64967E-09   6.28902E-09   1.90826E-08  -1.74859E-08  -1.12186E-08   2.52815E-08  -1.62590E-08   7.84835E-09   8.21760E-09  -2.38693E-08   1.79022E-08  -9.09715E-09
   3.54276E-02   4.75442E-02   1.00261E+00  -2.09715E-07   1.35380E-07  -1.65020E-07   1.36734E-06  -1.03114E-06   1.15103E-06   8.43936E-06  -1.44497E-06  -1.87642E-05   1.11688E-05   1.78720E-05  -2.86941E-05  -6.67474E-07   2.32928E-06   3.28582E-07   1.37916E-06   6.74357E-08   3.79266E-07   8.73647E-08  -1.40573E-08   1.33655E-07  -9.91755E-08   8.54430E-08  -1.98921E-07   1.70708E-08   1.64904E-07  -6.01912E-08   5.65107E-09   1.98984E-07  -6.76049E-08  -5.75694E-07   6.99067E-07   1.67220E-07  -4.52849E-07  -1.74343E-07   1.19968E-07   3.82415E-07  -1.34408E-07  -5.75531E-07   8.41646E-07   9.91402E-08  -2.73338E-07   8.06472E-08  -1.25754E-07  -3.53463E-08   7.60644E-08  -8.09747E-09   4.64441E-08   9.49532E-09   4.54126E-08  -1.19627E-07   1.29507E-07   3.98540E-08  -7.46991E-08  -4.83652E-08   3.20342E-08  -4.19927E-08  -2.18252E-08   1.85120E-07  -2.23801E-07  -8.87589E-08   1.80091E-07   4.21770E-08  -8.40673E-08  -2.16760E-08  -6.20411E-08   1.49391E-07  -1.58064E-07  -5.70663E-08   1.22435E-07  -3.05085E-09   2.10508E-08  -2.49957E-08   3.62500E-09   3.12414E-08  -5.81929E-08  -3.06004E-08   1.49083E-09   6.13237E-08  -7.19066E-08  -2.13626E-08   2.27717E-08   2.40679E-08  -2.05264E-08   2.15308E-08   6.96830E-09  -8.85947E-08   8.76196E-08   7.94402E-08  -1.06251E-07  -3.58166E-08   8.15800E-08  -1.05027E-08   4.93566E-08  -5.84205E-08   3.97714E-08   3.65984E-08  -6.46026E-08  -2.27650E-08   1.57216E-08   2.72515E-08  -2.45115E-08  -3.12707E-08   4.84865E-08   1.57433E-08  -1.52709E-08  -1.77748E-08   2.32268E-08  -2.31801E-09   2.08043E-09   5.26596E-09  -9.40853E-09  -1.31078E-08   6.41029E-09   4.30358E-08  -3.27092E-08  -5.58907E-08   6.07918E-08   2.67263E-08  -6.45960E-08   1.05470E-08  -2.51911E-08   1.68267E-08  -7.12043E-09  -1.97937E-08   2.79778E-08   1.92766E-08  -2.48512E-08  -1.82928E-08   1.35937E-08
   3.98673E-02   5.34787E-02   1.00322E+00  -3.02580E-07   3.50077E-07   3.12364E-07   3.59731E-07  -1.00411E-06   8.81043E-07   7.39813E-06  -1.10577E-07  -2.02444E-05   1.16398E-05   2.27899E-05  -3.73754E-05   4.45218E-07   2.47671E-06   1.07743E-07   2.60500E-06   3.97365E-07   6.26888E-07  -6.57955E-08  -2.10224E-09   2.64095E-07  -1.73966E-07  -4.13260E-07   4.53771E-07   6.58720E-08  -1.81347E-07   7.86606E-08  -6.41589E-08  -4.04614E-07   1.31937E-07   4.17746E-07  -5.23829E-07  -3.98241E-08   3.44441E-08  -1.36065E-08   1.12311E-08   4.55587E-07  -1.09538E-08  -9.97266E-07   1.38107E-06   2.58494E-07  -5.35004E-07  -2.19160E-07   7.72134E-08   1.60316E-07  -9.82777E-08  -2.45994E-07   3.52376E-07  -1.44597E-08  -9.02144E-08   1.12411E-07  -1.45791E-07  -2.87507E-08   4.06294E-08   2.72735E-08   3.41452E-09   1.35413E-08   7.31728E-08  -1.39691E-07   1.43898E-07   7.15703E-08  -9.59633E-08  -7.68958E-08   5.69152E-08  -3.35800E-08  -6.29514E-08   2.29593E-07  -2.68387E-07  -1.19520E-07   2.22005E-07   7.02593E-08  -6.77970E-08  -6.61122E-08  -2.24776E-08   1.92862E-07  -2.32558E-07  -7.48462E-08   1.47633E-07  -1.87285E-08   1.24143E-08   3.35133E-08  -5.63960E-08  -6.22002E-09  -1.35210E-08   6.44565E-09  -2.23822E-08   5.34080E-08  -3.79880E-08  -4.11616E-08   6.32838E-08   3.08013E-08  -3.36949E-08  -1.33372E-08   1.37801E-08  -3.18384E-08   1.85424E-08   4.53196E-08  -8.27281E-08  -2.32552E-08   4.50206E-08   2.70965E-08   2.52855E-08  -1.12032E-07   1.13348E-07   7.21700E-08  -1.14083E-07  -2.05766E-08   4.46197E-08  -1.54177E-08   4.01413E-08  -2.40956E-08   2.49082E-08  -1.57339E-10  -1.96333E-08  -1.09104E-08  -8.17477E-09   2.74615E-08  -3.70478E-08  -1.95596E-08   3.77185E-08   7.05275E-09   4.09350E-09  -8.75066E-09   1.21334E-08  -1.28319E-08   2.05931E-08  -2.89438E-09  -1.47625E-08  -2.75765E-09  -1.99200E-08
