  time  amplitude  omega  amp_cos  amp_sin
   3.78297E+00   5.91145E-09   8.27075E-01  -5.91097E-09   7.56046E-11
   7.56594E+00   3.61432E-09   1.18365E-01  -3.27775E-09  -1.52305E-09
   1.13489E+01   3.42839E-09   5.70670E-01   2.92676E-09  -1.78549E-09
   1.51319E+01   6.93433E-09   1.84631E-01   6.85576E-09   1.04085E-09
   1.89149E+01   5.03065E-09   2.85502E-01   1.67803E-09   4.74254E-09
   2.26978E+01   7.27145E-09   3.70159E-01  -6.34409E-09   3.55339E-09
   2.64808E+01   7.22833E-09   2.66666E-01  -6.34962E-09  -3.45414E-09
   3.02638E+01   7.80065E-09   3.66742E-01   2.41526E-09  -7.41732E-09
   3.40468E+01   9.80951E-09   2.89977E-01   9.68574E-09  -1.55341E-09
   3.78297E+01   9.48667E-09   3.13002E-01   4.92411E-09   8.10864E-09
   4.16127E+01   1.11676E-08   3.37367E-01  -7.45153E-09   8.31804E-09
   4.53957E+01   1.22614E-08   3.03502E-01  -1.16850E-08  -3.71531E-09
   4.91786E+01   1.33787E-08   3.41670E-01   3.95694E-10  -1.33728E-08
   5.29616E+01   1.59898E-08   3.14111E-01   1.50042E-08  -5.52707E-09
   5.67446E+01   1.72824E-08   3.15986E-01   1.15042E-08   1.28971E-08
   6.05276E+01   1.95893E-08   3.24518E-01  -9.37900E-09   1.71981E-08
   6.43105E+01   2.19857E-08   3.13861E-01  -2.18385E-08  -2.54019E-09
   6.80935E+01   2.47179E-08   3.26806E-01  -5.36283E-09  -2.41291E-08
   7.18765E+01   2.87207E-08   3.16686E-01   2.38414E-08  -1.60145E-08
   7.56594E+01   3.19133E-08   3.16876E-01   2.62079E-08   1.82101E-08
   7.94424E+01   3.61913E-08   3.20457E-01  -8.90937E-09   3.50776E-08
   8.32254E+01   4.07497E-08   3.16956E-01  -4.04417E-08   5.00079E-09
   8.70084E+01   4.62040E-08   3.20496E-01  -2.13934E-08  -4.09528E-08
   9.07913E+01   5.22326E-08   3.16906E-01   3.43410E-08  -3.93566E-08
   9.45743E+01   5.88010E-08   3.17265E-01   5.52991E-08   1.99890E-08
   9.83573E+01   6.66408E-08   3.17785E-01   1.45038E-09   6.66251E-08
   1.02140E+02   7.48037E-08   3.17406E-01  -6.91347E-08   2.85656E-08
   1.05923E+02   8.49470E-08   3.18129E-01  -5.84691E-08  -6.16227E-08
   1.09706E+02   9.55756E-08   3.17158E-01   4.07660E-08  -8.64455E-08
   1.13489E+02   1.07864E-07   3.18370E-01   1.07567E-07   8.00087E-09
   1.17272E+02   1.21682E-07   3.16840E-01   3.57219E-08   1.16321E-07
   1.21055E+02   1.36718E-07   3.16894E-01  -1.07167E-07   8.48943E-08
   1.24838E+02   1.55172E-07   3.17856E-01  -1.33688E-07  -7.87781E-08
   1.28621E+02   1.74772E-07   3.16273E-01   2.75246E-08  -1.72591E-07
   1.32404E+02   1.97492E-07   3.18820E-01   1.93294E-07  -4.05051E-08
   1.36187E+02   2.22033E-07   3.16273E-01   1.21848E-07   1.85612E-07
   1.39970E+02   2.49397E-07   3.18854E-01  -1.45984E-07   2.02207E-07
   1.43753E+02   2.80683E-07   3.16318E-01  -2.71879E-07  -6.97499E-08
   1.47536E+02   3.15769E-07   3.16553E-01  -3.84769E-08  -3.13416E-07
   1.51319E+02   3.54969E-07   3.18238E-01   3.13357E-07  -1.66764E-07
   1.55102E+02   4.02894E-07   3.16394E-01   3.06105E-07   2.61962E-07
   1.58885E+02   4.50468E-07   3.18548E-01  -1.51121E-07   4.24363E-07
   1.62668E+02   5.08138E-07   3.17061E-01  -5.07921E-07   1.48622E-08
   1.66451E+02   5.71909E-07   3.17289E-01  -2.22581E-07  -5.26818E-07
   1.70234E+02   6.46443E-07   3.17182E-01   4.63793E-07  -4.50317E-07
   1.74017E+02   7.27355E-07   3.16803E-01   6.61807E-07   3.01757E-07
   1.77800E+02   8.17348E-07   3.18029E-01  -4.90919E-08   8.15872E-07
   1.81583E+02   9.25863E-07   3.16322E-01  -8.80577E-07   2.86020E-07
   1.85366E+02   1.03569E-06   3.17753E-01  -6.53489E-07  -8.03491E-07
   1.89149E+02   1.16760E-06   3.17416E-01   5.78098E-07  -1.01444E-06
   1.92932E+02   1.31221E-06   3.16967E-01   1.29820E-06   1.91226E-07
   1.96715E+02   1.47498E-06   3.16626E-01   3.31604E-07   1.43722E-06
   2.00498E+02   1.66606E-06   3.17921E-01  -1.37987E-06   9.33654E-07
   2.04281E+02   1.87808E-06   3.17656E-01  -1.54278E-06  -1.07099E-06
   2.08063E+02   2.09788E-06   3.17919E-01   4.96026E-07  -2.03840E-06
   2.11846E+02   2.37559E-06   3.16331E-01   2.35384E-06  -3.20725E-07
   2.15629E+02   2.67109E-06   3.17480E-01   1.29276E-06   2.33741E-06
   2.19412E+02   3.01524E-06   3.17241E-01  -1.93072E-06   2.31603E-06
   2.23195E+02   3.38738E-06   3.17250E-01  -3.21084E-06  -1.07926E-06
   2.26978E+02   3.80945E-06   3.16927E-01  -1.81280E-07  -3.80514E-06
   2.30761E+02   4.29287E-06   3.17446E-01   3.92411E-06  -1.74071E-06
   2.34544E+02   4.83647E-06   3.18000E-01   3.41964E-06   3.42015E-06
   2.38327E+02   5.44800E-06   3.17619E-01  -2.20265E-06   4.98288E-06
   2.42110E+02   6.11805E-06   3.17039E-01  -6.11192E-06  -2.73838E-07
   2.45893E+02   6.91462E-06   3.17293E-01  -2.21257E-06  -6.55107E-06
   2.49676E+02   7.79400E-06   3.17898E-01   5.99164E-06  -4.98464E-06
   2.53459E+02   8.73220E-06   3.16669E-01   7.64625E-06   4.21736E-06
   2.57242E+02   9.91466E-06   3.18161E-01  -1.35246E-06   9.82198E-06
   2.61025E+02   1.11322E-05   3.16272E-01  -1.08197E-05   2.61926E-06
   2.64808E+02   1.26117E-05   3.18970E-01  -7.13832E-06  -1.03971E-05
   2.68591E+02   1.42254E-05   3.15561E-01   7.93934E-06  -1.18038E-05
   2.72374E+02   1.60612E-05   3.17396E-01   1.56670E-05   3.53652E-06
   2.76157E+02   1.81646E-05   3.19054E-01   2.56734E-06   1.79822E-05
   2.79940E+02   2.04821E-05   3.17388E-01  -1.78562E-05   1.00335E-05
   2.83723E+02   2.29859E-05   3.17799E-01  -1.77236E-05  -1.46365E-05
   2.87506E+02   2.58520E-05   3.18376E-01   8.22775E-06  -2.45078E-05
   2.91289E+02   2.90238E-05   3.15402E-01   2.89819E-05  -1.55909E-06
   2.95072E+02   3.29073E-05   3.18381E-01   1.34217E-05   3.00458E-05
   2.98855E+02   3.69645E-05   3.17859E-01  -2.60577E-05   2.62177E-05
   3.02638E+02   4.16793E-05   3.17005E-01  -3.82123E-05  -1.66428E-05
   3.06421E+02   4.69822E-05   3.18094E-01   2.03393E-06  -4.69382E-05
   3.10204E+02   5.28925E-05   3.17884E-01   5.01246E-05  -1.68862E-05
