  time  amplitude  omega  amp_cos  amp_sin
   3.78297E+00   5.94263E-09   8.27198E-01  -5.94217E-09   7.32391E-11
   7.56594E+00   3.61765E-09   1.18295E-01  -3.28046E-09  -1.52511E-09
   1.13489E+01   3.40763E-09   5.70153E-01   2.90591E-09  -1.77979E-09
   1.51319E+01   6.98494E-09   1.84568E-01   6.90789E-09   1.03467E-09
   1.89149E+01   5.09166E-09   2.86815E-01   1.68410E-09   4.80508E-09
   2.26978E+01   7.38290E-09   3.70817E-01  -6.46092E-09   3.57264E-09
   2.64808E+01   7.37374E-09   2.67058E-01  -6.45274E-09  -3.56850E-09
   3.02638E+01   8.00878E-09   3.65051E-01   2.48384E-09  -7.61388E-09
   3.40468E+01   1.01206E-08   2.89730E-01   9.99225E-09  -1.60658E-09
   3.78297E+01   9.89270E-09   3.11506E-01   5.18592E-09   8.42448E-09
   4.16127E+01   1.16349E-08   3.35801E-01  -7.65900E-09   8.75845E-09
   4.53957E+01   1.28046E-08   3.03946E-01  -1.22420E-08  -3.75407E-09
   4.91786E+01   1.40169E-08   3.40607E-01   2.13900E-10  -1.40153E-08
   5.29616E+01   1.67612E-08   3.13418E-01   1.56276E-08  -6.05928E-09
   5.67446E+01   1.81543E-08   3.14818E-01   1.23711E-08   1.32866E-08
   6.05276E+01   2.05624E-08   3.23955E-01  -9.41827E-09   1.82786E-08
   6.43105E+01   2.31234E-08   3.14196E-01  -2.30222E-08  -2.16075E-09
   6.80935E+01   2.60774E-08   3.26577E-01  -6.24388E-09  -2.53189E-08
   7.18765E+01   3.03324E-08   3.16328E-01   2.47585E-08  -1.75234E-08
   7.56594E+01   3.37550E-08   3.17054E-01   2.81702E-08   1.85967E-08
   7.94424E+01   3.84084E-08   3.20046E-01  -8.50964E-09   3.74538E-08
   8.32254E+01   4.32957E-08   3.16662E-01  -4.28130E-08   6.44697E-09
   8.70084E+01   4.92099E-08   3.20678E-01  -2.39002E-08  -4.30162E-08
   9.07913E+01   5.58066E-08   3.16486E-01   3.55280E-08  -4.30365E-08
   9.45743E+01   6.29075E-08   3.17347E-01   5.97172E-08   1.97788E-08
   9.83573E+01   7.15842E-08   3.17846E-01   3.47463E-09   7.14998E-08
   1.02140E+02   8.05660E-08   3.16979E-01  -7.35562E-08   3.28688E-08
   1.05923E+02   9.16840E-08   3.18002E-01  -6.50013E-08  -6.46590E-08
   1.09706E+02   1.03580E-07   3.17127E-01   4.14443E-08  -9.49275E-08
   1.13489E+02   1.17238E-07   3.17686E-01   1.17132E-07   4.99852E-09
   1.17272E+02   1.32577E-07   3.16955E-01   4.28499E-08   1.25461E-07
   1.21055E+02   1.49765E-07   3.16714E-01  -1.14374E-07   9.66868E-08
   1.24838E+02   1.70524E-07   3.17639E-01  -1.49663E-07  -8.17278E-08
   1.28621E+02   1.92995E-07   3.16028E-01   2.39769E-08  -1.91500E-07
   1.32404E+02   2.18535E-07   3.18423E-01   2.12185E-07  -5.22974E-08
   1.36187E+02   2.46875E-07   3.16529E-01   1.42442E-07   2.01637E-07
   1.39970E+02   2.78519E-07   3.18087E-01  -1.54560E-07   2.31698E-07
   1.43753E+02   3.14193E-07   3.16414E-01  -3.06994E-07  -6.68712E-08
   1.47536E+02   3.55763E-07   3.16519E-01  -5.63071E-08  -3.51278E-07
   1.51319E+02   4.00654E-07   3.17372E-01   3.45864E-07  -2.02242E-07
   1.55102E+02   4.55926E-07   3.17103E-01   3.57233E-07   2.83290E-07
   1.58885E+02   5.13030E-07   3.18047E-01  -1.52997E-07   4.89685E-07
