  time  amplitude  omega  amp_cos  amp_sin
   3.78297E+00   5.91587E-09   8.27036E-01  -5.91537E-09   7.65451E-11
   7.56594E+00   3.65883E-09   1.19439E-01  -3.31205E-09  -1.55477E-09
   1.13489E+01   3.44569E-09   5.65984E-01   2.91645E-09  -1.83496E-09
   1.51319E+01   7.01588E-09   1.88561E-01   6.93528E-09   1.06040E-09
   1.89149E+01   5.12368E-09   2.84359E-01   1.72485E-09   4.82462E-09
   2.26978E+01   7.34965E-09   3.69630E-01  -6.39328E-09   3.62537E-09
   2.64808E+01   7.28852E-09   2.70451E-01  -6.37074E-09  -3.54066E-09
   3.02638E+01   7.86085E-09   3.62169E-01   2.37211E-09  -7.49440E-09
   3.40468E+01   9.84316E-09   2.92596E-01   9.72153E-09  -1.54265E-09
   3.78297E+01   9.58494E-09   3.12308E-01   4.98307E-09   8.18780E-09
   4.16127E+01   1.13039E-08   3.36779E-01  -7.51554E-09   8.44365E-09
   4.53957E+01   1.23443E-08   3.05947E-01  -1.17411E-08  -3.81156E-09
   4.91786E+01   1.35287E-08   3.39489E-01   3.70378E-10  -1.35236E-08
   5.29616E+01   1.61015E-08   3.15581E-01   1.51276E-08  -5.51484E-09
   5.67446E+01   1.74197E-08   3.15500E-01   1.15757E-08   1.30172E-08
   6.05276E+01   1.98294E-08   3.23735E-01  -9.46893E-09   1.74226E-08
   6.43105E+01   2.19562E-08   3.14876E-01  -2.18030E-08  -2.58920E-09
   6.80935E+01   2.49325E-08   3.24700E-01  -5.54470E-09  -2.43081E-08
   7.18765E+01   2.88167E-08   3.16036E-01   2.37916E-08  -1.62593E-08
   7.56594E+01   3.21392E-08   3.17732E-01   2.64807E-08   1.82126E-08
   7.94424E+01   3.64160E-08   3.21491E-01  -8.93417E-09   3.53030E-08
   8.32254E+01   4.09307E-08   3.16981E-01  -4.06175E-08   5.05419E-09
   8.70084E+01   4.63061E-08   3.20598E-01  -2.14562E-08  -4.10351E-08
   9.07913E+01   5.25821E-08   3.16591E-01   3.45085E-08  -3.96742E-08
   9.45743E+01   5.93127E-08   3.18140E-01   5.57452E-08   2.02599E-08
   9.83573E+01   6.71460E-08   3.18140E-01   1.25458E-09   6.71343E-08
   1.02140E+02   7.55275E-08   3.16704E-01  -6.98158E-08   2.88125E-08
   1.05923E+02   8.54825E-08   3.20591E-01  -5.82313E-08  -6.25810E-08
   1.09706E+02   9.61243E-08   3.15508E-01   4.13037E-08  -8.67980E-08
   1.13489E+02   1.07954E-07   3.16864E-01   1.07674E-07   7.77049E-09
   1.17272E+02   1.22449E-07   3.16869E-01   3.61919E-08   1.16979E-07
   1.21055E+02   1.37916E-07   3.16644E-01  -1.07845E-07   8.59667E-08
   1.24838E+02   1.55848E-07   3.18749E-01  -1.34244E-07  -7.91667E-08
   1.28621E+02   1.75936E-07   3.17462E-01   2.85478E-08  -1.73605E-07
   1.32404E+02   1.98143E-07   3.17169E-01   1.93873E-07  -4.09118E-08
   1.36187E+02   2.23710E-07   3.17854E-01   1.21912E-07   1.87573E-07
   1.39970E+02   2.51191E-07   3.16509E-01  -1.46157E-07   2.04292E-07
   1.43753E+02   2.82949E-07   3.16695E-01  -2.74274E-07  -6.95254E-08
   1.47536E+02   3.19053E-07   3.16231E-01  -4.01710E-08  -3.16514E-07
   1.51319E+02   3.61270E-07   3.16295E-01   3.16957E-07  -1.73362E-07
   1.55102E+02   4.05272E-07   3.18102E-01   3.09220E-07   2.61971E-07
   1.58885E+02   4.58647E-07   3.17246E-01  -1.49578E-07   4.33570E-07
   1.62668E+02   5.13551E-07   3.17718E-01  -5.13206E-07   1.88291E-08
   1.66451E+02   5.78773E-07   3.17132E-01  -2.29519E-07  -5.31318E-07
   1.70234E+02   6.52484E-07   3.17327E-01   4.64719E-07  -4.58009E-07
   1.74017E+02   7.29920E-07   3.16952E-01   6.66215E-07   2.98228E-07
   1.77800E+02   8.25502E-07   3.17109E-01  -4.10202E-08   8.24483E-07
   1.81583E+02   9.25051E-07   3.17490E-01  -8.78082E-07   2.91016E-07
   1.85366E+02   1.04354E-06   3.16297E-01  -6.67695E-07  -8.01978E-07
   1.89149E+02   1.17363E-06   3.18642E-01   5.74098E-07  -1.02363E-06
   1.92932E+02   1.32479E-06   3.16413E-01   1.31232E-06   1.81343E-07
   1.96715E+02   1.48026E-06   3.18191E-01   3.37139E-07   1.44136E-06
   2.00498E+02   1.67553E-06   3.15163E-01  -1.37496E-06   9.57544E-07
   2.04281E+02   1.88434E-06   3.18983E-01  -1.55692E-06  -1.06146E-06
   2.08063E+02   2.11947E-06   3.17286E-01   4.78805E-07  -2.06468E-06
   2.11846E+02   2.38422E-06   3.19391E-01   2.36263E-06  -3.20126E-07
   2.15629E+02   2.68132E-06   3.16684E-01   1.30303E-06   2.34342E-06
   2.19412E+02   3.01997E-06   3.18374E-01  -1.93843E-06   2.31575E-06
   2.23195E+02   3.38825E-06   3.17580E-01  -3.20813E-06  -1.09003E-06
   2.26978E+02   3.82627E-06   3.17698E-01  -1.58441E-07  -3.82299E-06
   2.30761E+02   4.29248E-06   3.15907E-01   3.92439E-06  -1.73913E-06
   2.34544E+02   4.85269E-06   3.18482E-01   3.42361E-06   3.43912E-06
   2.38327E+02   5.45462E-06   3.17487E-01  -2.21375E-06   4.98520E-06
   2.42110E+02   6.13873E-06   3.18036E-01  -6.13099E-06  -3.08238E-07
   2.45893E+02   6.90317E-06   3.17254E-01  -2.17412E-06  -6.55186E-06
   2.49676E+02   7.76574E-06   3.17345E-01   5.98589E-06  -4.94730E-06
   2.53459E+02   8.70000E-06   3.17758E-01   7.58700E-06   4.25762E-06
   2.57242E+02   9.82474E-06   3.16900E-01  -1.36522E-06   9.72943E-06
   2.61025E+02   1.10565E-05   3.17519E-01  -1.07648E-05   2.52304E-06
   2.64808E+02   1.23969E-05   3.18012E-01  -6.97921E-06  -1.02457E-05
   2.68591E+02   1.40145E-05   3.17483E-01   7.94832E-06  -1.15426E-05
   2.72374E+02   1.57117E-05   3.17208E-01   1.52899E-05   3.61606E-06
   2.76157E+02   1.77020E-05   3.18212E-01   2.37860E-06   1.75415E-05
   2.79940E+02   1.98688E-05   3.18779E-01  -1.74399E-05   9.51932E-06
   2.83723E+02   2.22794E-05   3.15463E-01  -1.71297E-05  -1.42460E-05
   2.87506E+02   2.50695E-05   3.17953E-01   8.02294E-06  -2.37511E-05
   2.91289E+02   2.82986E-05   3.17282E-01   2.82702E-05  -1.26645E-06
   2.95072E+02   3.18628E-05   3.17112E-01   1.28741E-05   2.91460E-05
   2.98855E+02   3.58852E-05   3.18027E-01  -2.54190E-05   2.53302E-05
   3.02638E+02   4.03675E-05   3.17513E-01  -3.69002E-05  -1.63679E-05
   3.06421E+02   4.55420E-05   3.17673E-01   2.20556E-06  -4.54886E-05
   3.10204E+02   5.12217E-05   3.17788E-01   4.86188E-05  -1.61207E-05
   3.13987E+02   5.78009E-05   3.17639E-01   3.67630E-05   4.46030E-05
   3.17770E+02   6.49738E-05   3.18613E-01  -3.20563E-05   5.65154E-05
