  r/a  gpsi_sqrt  q  m=0cos  m=0sin  m=1cos  m=1sin  m=2cos  m=2sin  m=3cos  m=3sin  m=4cos  m=4sin  m=5cos  m=5sin  m=6cos  m=6sin  m=7cos  m=7sin  m=8cos  m=8sin  m=9cos  m=9sin  m=10cos  m=10sin  m=11cos  m=11sin  m=12cos  m=12sin  m=13cos  m=13sin  m=14cos  m=14sin  m=15cos  m=15sin  m=16cos  m=16sin  m=17cos  m=17sin  m=18cos  m=18sin  m=19cos  m=19sin  m=20cos  m=20sin  m=21cos  m=21sin  m=22cos  m=22sin  m=23cos  m=23sin  m=24cos  m=24sin  m=25cos  m=25sin  m=26cos  m=26sin  m=27cos  m=27sin  m=28cos  m=28sin  m=29cos  m=29sin  m=30cos  m=30sin  m=31cos  m=31sin  m=32cos  m=32sin  m=33cos  m=33sin  m=34cos  m=34sin  m=35cos  m=35sin  m=36cos  m=36sin  m=37cos  m=37sin  m=38cos  m=38sin  m=39cos  m=39sin  m=40cos  m=40sin  m=41cos  m=41sin  m=42cos  m=42sin  m=43cos  m=43sin  m=44cos  m=44sin  m=45cos  m=45sin  m=46cos  m=46sin  m=47cos  m=47sin  m=48cos  m=48sin  m=49cos  m=49sin  m=50cos  m=50sin  m=51cos  m=51sin  m=52cos  m=52sin  m=53cos  m=53sin  m=54cos  m=54sin  m=55cos  m=55sin  m=56cos  m=56sin  m=57cos  m=57sin  m=58cos  m=58sin  m=59cos  m=59sin  m=60cos  m=60sin  m=61cos  m=61sin  m=62cos  m=62sin  m=63cos  m=63sin  m=64cos  m=64sin
   0.00000E+00   0.00000E+00   9.98748E-01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
   4.41306E-03   5.87772E-03   9.98748E-01   5.28475E-07  -6.71187E-07  -1.15119E-05   1.35644E-05   1.72710E-06  -7.42832E-07   6.83717E-07  -6.93558E-07  -3.68422E-07   3.33052E-07   8.00822E-08  -7.44522E-08   6.30525E-08  -5.70400E-08  -7.59596E-08   7.28485E-08   1.69547E-08  -1.60813E-08   2.79941E-08  -2.54625E-08  -3.05328E-08   3.00370E-08   1.65983E-09  -1.16080E-09   1.85441E-08  -1.71258E-08  -1.66118E-08   1.69406E-08  -1.60156E-09   1.96556E-09   1.18293E-08  -1.07013E-08  -8.32880E-09   8.83016E-09  -4.10678E-09   4.59297E-09   9.24405E-09  -8.39178E-09  -5.11587E-09   5.80419E-09  -3.85568E-09   4.33949E-09   6.05404E-09  -5.21457E-09  -1.98121E-09   2.67789E-09  -4.45076E-09   5.05989E-09   4.84673E-09  -4.10172E-09  -9.72574E-10   1.76435E-09  -3.60957E-09   4.22841E-09   2.87740E-09  -2.07809E-09   5.26428E-10   2.62855E-10  -3.66782E-09   4.40073E-09   2.26718E-09  -1.49663E-09   7.03861E-10   1.65730E-10  -2.73618E-09   3.48839E-09   9.92007E-10  -1.48624E-10   1.45731E-09  -5.83344E-10  -2.64593E-09   3.50877E-09   7.42343E-10   1.05053E-10   1.26667E-09  -3.13826E-10  -1.76997E-09   2.66024E-09  -1.19650E-10   1.05159E-09   1.66644E-09  -7.00293E-10  -1.63888E-09   2.63158E-09  -1.70131E-10   1.12936E-09   1.31119E-09  -2.61580E-10  -8.52310E-10   1.87632E-09  -7.45117E-10   1.79512E-09   1.50269E-09  -4.27239E-10  -7.33916E-10   1.85323E-09  -6.27497E-10   1.71697E-09   1.07300E-09   8.93869E-11  -9.80560E-11   1.25725E-09  -9.48002E-10   2.12857E-09   1.15041E-09   4.67876E-11  -4.58727E-11   1.29749E-09  -7.07534E-10   1.93613E-09   7.37850E-10   5.44930E-10   4.29435E-10   8.68864E-10  -8.57936E-10   2.17809E-09   7.70416E-10   5.55347E-10   4.35107E-10   9.49832E-10  -5.64693E-10   1.93893E-09   4.06449E-10   1.00566E-09   7.88759E-10   6.45103E-10  -5.99386E-10   2.06176E-09   4.20558E-10   1.04273E-09
   8.83967E-03   1.17554E-02   9.99858E-01   8.38959E-07  -1.11522E-06  -1.01255E-05   1.26784E-05   2.07647E-06  -2.54204E-07   2.19723E-06  -2.18602E-06  -1.02103E-06   9.68753E-07   2.28925E-08  -1.15782E-07   3.12370E-07  -3.18185E-07  -1.22442E-07   1.85191E-07  -1.24707E-07   1.24833E-07   1.04898E-07  -1.31564E-07   3.84647E-08  -3.01411E-08  -6.68776E-08   6.61725E-08   4.95741E-10  -7.97926E-09   3.46802E-08  -1.99659E-08  -1.45786E-08   1.77297E-08  -1.77928E-08   5.59504E-09   1.67584E-08  -1.35048E-08   1.10405E-08  -6.72000E-09  -1.60461E-08   1.14602E-08  -8.05412E-09   1.22374E-08   1.50422E-08  -1.08635E-08   2.53180E-09  -7.69178E-09  -1.36740E-08   1.33146E-08   4.60412E-09  -1.17679E-09   1.01527E-08  -1.07931E-08  -1.08962E-08   1.20983E-08  -4.86206E-09   6.74631E-09   1.24419E-08  -1.38742E-08  -9.20919E-10   1.05636E-09  -9.71195E-09   1.10232E-08   4.96695E-09  -4.73395E-09   4.50654E-09  -2.69182E-09  -6.48216E-09   7.33304E-09  -4.42810E-10  -7.47493E-10   5.79995E-09  -4.66121E-09  -1.55486E-09   2.92769E-09  -4.24898E-09   3.89140E-09   1.76303E-09  -9.97382E-11   2.84642E-09  -1.30960E-09  -1.96703E-09   9.62927E-10  -1.75721E-09   2.43396E-09   2.75817E-09  -8.60664E-10   7.61543E-10  -6.28266E-10  -3.70293E-09   4.59540E-09   7.09173E-10   8.74374E-10   3.77273E-09  -3.77802E-09  -2.06622E-09   2.52932E-09  -2.35023E-09   3.83911E-09   3.18447E-09  -2.38409E-09   2.98887E-10   7.28121E-10  -2.99388E-09   4.12218E-09   1.65782E-09  -1.28044E-09   2.30042E-09  -1.32000E-09  -2.17227E-09   3.46024E-09  -8.04200E-10   1.51056E-09   2.07682E-09  -7.03746E-10   8.92492E-11   1.21666E-09  -1.20488E-09   1.50743E-09   7.86460E-10   3.31764E-10   1.20026E-09   4.36323E-10  -6.75973E-10   1.40158E-09  -8.49363E-10   2.06070E-09   1.34042E-09   2.69032E-10   1.08983E-09  -4.52694E-10  -1.16079E-09   2.13097E-09
   1.32656E-02   1.76332E-02   1.00041E+00   1.09083E-06  -8.81906E-07  -8.73629E-06   1.14459E-05   2.59436E-06  -3.12543E-07   3.21236E-06  -2.23170E-06  -2.24903E-06   2.26652E-06   6.67565E-07  -1.51343E-06   4.11889E-07  -3.30020E-07  -1.06384E-07   2.20969E-07  -7.42390E-08  -3.35121E-08  -6.32480E-08   1.62510E-07   1.10603E-07  -7.14224E-08  -9.46217E-08   1.22530E-07  -7.59669E-08   6.31093E-08   9.29391E-08  -1.21884E-07   1.10375E-09   2.35128E-08  -8.79554E-09  -3.14355E-08  -2.03104E-09  -1.18552E-08   3.08073E-08  -1.51717E-08   1.08230E-08  -1.13388E-08  -5.07530E-08   6.31498E-08   1.38958E-08  -1.56238E-08   1.04907E-08   5.27069E-09  -1.98975E-08   2.36331E-08  -2.35641E-09  -1.34260E-08   7.02287E-09  -2.31642E-09   1.98965E-08  -2.54962E-08  -1.24144E-08   8.24031E-09  -3.72588E-09   2.18369E-09   1.80916E-08  -1.67577E-08  -1.00281E-08   2.08452E-08  -8.51332E-09   5.54970E-09  -1.38024E-09   5.11182E-09   5.28416E-09   2.52431E-10  -5.52333E-10  -3.34139E-09  -9.55921E-09   8.50581E-09   1.24399E-08  -1.65177E-08   4.36632E-09  -2.56116E-09  -6.19372E-09   5.51170E-09   1.29570E-09  -3.66688E-09   1.35804E-09   5.34528E-09   1.30027E-09   2.53039E-10  -8.51517E-09   1.00218E-08  -1.63536E-10   1.55781E-09   6.94647E-09  -6.73825E-09  -4.65435E-09   5.95437E-09   4.28155E-10  -4.62159E-09   3.56485E-09  -2.98452E-09   2.95484E-09  -1.30060E-09  -1.66345E-09   7.32977E-10  -3.94685E-09   6.46326E-09   4.66157E-09  -2.98304E-09  -1.92237E-09   5.20248E-09  -4.31628E-09   4.90678E-09   2.11934E-09  -2.69846E-09   1.58945E-09   7.37055E-10   1.24418E-09  -2.73292E-09  -2.04735E-09   1.57662E-09   2.81576E-09  -2.13741E-09   3.00642E-09  -1.99862E-09  -3.90709E-09   6.09472E-09   7.03471E-11   2.35452E-10   8.90540E-10   2.13222E-09  -3.50482E-10   2.30206E-09  -1.39188E-09   1.13665E-09  -3.37980E-10   1.50894E-09
   1.76935E-02   2.35109E-02   1.00071E+00   1.57105E-06  -1.44624E-06  -8.17290E-06   1.09083E-05   3.29140E-06  -1.26000E-06   3.94363E-06  -2.10670E-06  -4.14150E-06   3.69819E-06   1.45893E-06  -3.72551E-06   3.08612E-07  -4.22196E-07   1.15036E-07  -2.71968E-07  -1.22268E-07  -1.01783E-07   2.04254E-08   2.63864E-08   2.45247E-07  -1.29462E-07  -2.10954E-07   4.44401E-07  -3.57398E-08   1.28612E-08  -1.38380E-08   8.36916E-08   2.56488E-08   1.65078E-08  -5.23967E-08   1.77717E-08  -6.21485E-08   1.38766E-08   9.80074E-08  -1.54093E-07  -1.87719E-08   4.76516E-08   9.76134E-09  -4.84140E-08  -1.31627E-08   1.10529E-08   4.94991E-08  -3.43451E-08   5.29689E-10   1.60253E-08  -3.72478E-08   3.94948E-08   1.97391E-08  -3.98100E-08   6.02291E-10   2.12992E-08  -2.85836E-09  -1.73580E-09  -2.64212E-08   2.40732E-08   9.42972E-09  -7.02513E-09   1.44087E-08  -1.61578E-09  -2.35418E-08   3.53355E-08   4.56556E-09  -1.92869E-08   1.61640E-09   4.21234E-09   1.65280E-08  -2.27860E-08  -1.50738E-08   7.55400E-09   3.57628E-09  -1.75253E-08   1.56360E-08  -1.77963E-08  -4.15560E-09   1.35277E-08  -2.69550E-09  -8.74326E-10  -6.34622E-09   1.51673E-08   1.19017E-08  -4.39087E-09  -1.06029E-08   2.00256E-08  -8.26044E-09   5.35488E-09   4.12201E-09  -8.24910E-09   1.73466E-09   1.53235E-09  -3.88804E-10  -6.54485E-09  -6.71348E-09   3.17488E-09   1.10028E-08  -1.45137E-08   2.69963E-09   2.36526E-09  -4.47138E-09   4.62222E-09   1.36784E-09  -4.16133E-09   2.20174E-09   2.49708E-09   3.92157E-09  -3.63783E-09  -1.02144E-08   1.10952E-08   3.38619E-09  -6.98438E-09   1.51085E-09   2.80886E-09  -1.69022E-09   4.55261E-09  -4.11009E-09   3.02848E-09   1.64938E-10   2.06690E-09   5.81647E-09  -4.58795E-09  -5.10300E-09   6.79271E-09   9.23371E-11  -5.32018E-09   2.90512E-09  -4.24859E-09   3.21660E-09  -3.02211E-09  -1.67032E-09  -4.83536E-10
   2.21240E-02   2.96111E-02   1.00095E+00   1.06835E-06  -1.04553E-06  -7.09079E-06   9.91503E-06   2.89832E-06  -1.55040E-06   6.03902E-06  -4.03076E-06  -7.54664E-06   6.53865E-06   3.38959E-06  -7.91680E-06  -2.19491E-07   2.81050E-07   5.58564E-07  -8.38685E-07  -2.77478E-07   3.93792E-07   3.18373E-08   3.99466E-08   4.20461E-07  -2.33547E-07  -4.24043E-07   7.14736E-07   6.66126E-08  -3.33627E-07  -6.74793E-08   1.04600E-07   1.20735E-07  -1.07670E-07  -9.30605E-08   2.17730E-07  -6.21777E-08   8.03677E-08   5.98888E-08  -4.03827E-08  -5.08020E-09   7.37254E-08  -5.23561E-08  -1.17591E-08  -2.33496E-08  -4.56446E-08   7.57690E-08  -1.24249E-07  -1.50567E-08   5.17145E-08   1.54056E-08  -2.80897E-08  -3.35294E-08   3.25655E-08   6.42698E-08  -7.30464E-08  -1.89479E-08   2.91691E-08  -2.98927E-08   6.45927E-10   3.46539E-08  -6.08061E-08  -1.02452E-08   4.77440E-08   2.46434E-08  -9.32494E-09  -4.94176E-08   7.79445E-08   2.14324E-08  -3.46362E-08   3.09922E-09   1.49443E-08  -2.18900E-08   1.77263E-08  -5.99646E-10  -2.03657E-08   1.00709E-09   5.28851E-09   1.79220E-08  -1.22137E-08  -1.79278E-08   3.21800E-08  -7.51050E-10  -1.83284E-08   7.28341E-09  -1.33994E-08   1.03706E-08  -1.68064E-08  -1.52369E-08   6.58825E-09   9.33506E-09  -1.90063E-08   7.81854E-09  -3.66858E-10   7.25615E-10   1.26994E-08  -4.92478E-09   3.87556E-09  -1.00129E-08   7.43385E-09   1.92078E-08  -2.34161E-08  -1.56949E-08   2.56970E-08   7.05098E-10  -7.05419E-09  -6.17253E-10   7.00002E-09   2.94868E-09   5.61450E-09  -9.66300E-11   3.45549E-09  -1.45278E-08   1.12359E-08   1.11778E-08  -2.40405E-08  -6.40091E-10   4.78521E-09  -9.39869E-10  -4.27505E-09  -2.70751E-09   1.21168E-09   6.26491E-09  -6.44930E-09   2.44196E-09   7.52029E-10  -4.20935E-09   2.66630E-09  -2.36474E-09  -6.47044E-09   5.99305E-09  -6.80717E-09   2.18162E-09   7.98390E-10
   2.65561E-02   3.65791E-02   1.00144E+00   5.16935E-07  -4.08503E-07  -5.28641E-06   7.69241E-06   1.78975E-06  -1.16404E-06   7.86204E-06  -5.10782E-06  -1.14226E-05   9.86134E-06   6.33612E-06  -1.49046E-05  -4.18954E-07   8.77954E-07   2.29544E-08   5.95731E-07   2.03732E-08   1.76570E-07   1.71364E-07  -3.56014E-07   1.29724E-07  -1.53204E-07  -2.08568E-07   3.54085E-07  -4.55000E-08  -2.17005E-07  -5.24555E-08   1.60789E-07   2.78363E-07  -3.28929E-08  -2.87438E-07   5.45323E-07   8.34393E-08  -2.07404E-07  -1.07871E-07   1.34159E-07   8.05799E-08  -1.24988E-07  -6.63440E-08   1.60082E-07  -5.89441E-08   7.14748E-08   1.28050E-07  -1.82116E-07  -3.79899E-08   1.27764E-07  -4.30160E-08  -1.94037E-08  -1.41645E-08  -8.49421E-08   8.26546E-08  -1.12214E-07  -5.61753E-08   1.16981E-07   6.99977E-08  -1.15013E-07  -4.92162E-08   5.38056E-08   3.19633E-08  -7.12023E-08   1.74276E-08  -2.00305E-08  -5.59736E-08   6.28350E-08   3.60750E-08  -6.44033E-08   2.28486E-08   1.75585E-08  -1.09343E-08   3.98209E-08  -3.95021E-08   4.22080E-08   3.35746E-08  -6.36813E-08  -3.16211E-08   6.10179E-08   2.19510E-08  -1.24487E-08  -2.17589E-08   3.67867E-08   8.01054E-09  -1.42307E-08   1.05847E-08   2.45173E-09  -2.70316E-08   2.88103E-08   3.09219E-09  -3.31470E-08   2.50974E-09   2.89651E-10   2.07166E-08  -2.28027E-08  -1.72960E-08   2.68935E-08   8.25175E-09  -2.63049E-08  -7.99551E-09  -3.61881E-09   1.85902E-08  -2.76033E-08  -1.90181E-08   2.55289E-08   9.60282E-09  -2.70539E-08   1.65991E-08  -1.16439E-08  -1.62492E-08   3.40329E-08   3.90856E-09  -1.81846E-08  -9.46229E-09   9.59271E-09   8.26813E-09  -9.75049E-09  -1.89257E-09   1.33803E-08   2.22741E-09   2.15602E-09  -1.51505E-08   2.04202E-08   1.65024E-08  -2.12978E-08  -1.44188E-08   2.42461E-08  -7.28233E-09  -2.46841E-10   1.42979E-08  -2.20920E-08  -5.98058E-09   1.66401E-08
   3.09905E-02   4.24174E-02   1.00204E+00   3.88264E-08   2.43494E-07  -2.98096E-06   4.52003E-06   3.07230E-07  -3.50927E-07   8.67694E-06  -4.28375E-06  -1.51668E-05   1.27824E-05   1.02744E-05  -2.42599E-05  -8.66895E-07   1.68607E-06  -8.78255E-08   1.48811E-06   1.23304E-07   3.22000E-08   7.58740E-08  -1.22819E-07  -1.63067E-07  -8.21090E-08   3.49892E-07  -7.56082E-07  -1.54702E-07   1.44243E-07  -8.78376E-09   3.99749E-08   4.93247E-07  -2.11600E-07  -6.67179E-07   1.35609E-06   1.50073E-07  -4.86119E-07   1.63656E-09  -5.57411E-08   7.56918E-08   7.51706E-08  -1.02420E-07   2.47955E-07   6.45850E-08  -5.36695E-08  -1.13977E-07   1.75427E-07   6.33293E-08  -1.14754E-07  -5.59805E-08   1.09048E-07  -6.27721E-08   3.69871E-08   1.41848E-07  -2.21692E-07  -7.30529E-08   1.86395E-07   3.00670E-09  -9.17826E-08  -3.26948E-08  -9.06764E-08   1.00849E-07  -1.55165E-07  -5.07303E-08   1.20475E-07   2.82682E-08  -3.77486E-08  -3.28205E-08   2.55625E-08   4.36412E-08  -1.16384E-07  -4.38546E-09  -6.13608E-09   8.48590E-10  -8.34443E-09   1.78164E-08  -3.39537E-08   1.53895E-09   5.24428E-08   7.02514E-09   3.65729E-08  -6.76118E-08   6.87759E-08   4.94484E-08  -1.01137E-07  -4.36596E-09   3.99102E-08   9.17857E-10   2.98315E-08  -2.74657E-08   5.19122E-08   1.74831E-08  -3.15811E-08  -2.91826E-08   4.50092E-08   1.30972E-08  -1.11764E-08  -1.54470E-08   1.91418E-08  -1.85805E-09  -5.01923E-09   3.09545E-08  -3.14287E-08  -3.76748E-08   4.86312E-08   6.66342E-09  -5.16856E-08   1.54702E-08  -3.08845E-08   7.68419E-09   8.17345E-09  -2.22963E-08   3.49603E-08   2.42174E-08  -5.30296E-08  -1.85331E-08   8.74246E-09   2.39989E-08  -4.77743E-08  -3.04187E-09   7.54113E-09  -8.86252E-09   8.38108E-09   1.79672E-08  -2.17438E-08  -7.66847E-09   2.89572E-08  -1.62131E-08   1.15853E-08   5.72424E-09  -2.90022E-08   1.60965E-08  -1.31386E-08
   3.54276E-02   4.75442E-02   1.00261E+00  -1.34412E-07   3.50131E-07  -1.17873E-06   1.93581E-06  -7.67578E-07  -1.54690E-07   8.96481E-06  -3.26612E-06  -1.82477E-05   1.48032E-05   1.46956E-05  -3.49240E-05  -8.53850E-07   2.09320E-06   3.93644E-07   1.74545E-06   2.06468E-07   4.92372E-07   9.66691E-08  -5.12185E-08   1.09335E-07  -9.21128E-08   5.42093E-08  -2.56345E-07   4.51026E-08   1.67187E-07  -6.87045E-08   1.26362E-08   2.11183E-07  -1.19646E-07  -4.85579E-07   8.56019E-07   1.08836E-07  -5.05444E-07  -1.56352E-07   1.34459E-07   3.75313E-07  -1.75872E-07  -4.75558E-07   1.02561E-06   8.25651E-08  -3.07277E-07   6.72558E-08  -1.66930E-07  -4.13216E-08   8.78405E-08   5.09305E-09   6.10202E-08   2.01197E-08   5.07415E-08  -1.04106E-07   1.64524E-07   3.64453E-08  -8.45261E-08  -4.73677E-08   4.11564E-08  -4.81267E-08  -1.85011E-08   1.56800E-07  -2.75525E-07  -6.70735E-08   2.04629E-07   2.85576E-08  -9.19184E-08  -3.04708E-08  -7.57824E-08   1.28141E-07  -1.97832E-07  -4.64586E-08   1.46910E-07   2.80940E-09   2.83497E-08  -2.14481E-08   6.54931E-09   2.15202E-08  -7.13098E-08  -3.32143E-08   2.48703E-09   5.35587E-08  -9.00595E-08  -2.25055E-08   2.58345E-08   2.40749E-08  -2.72282E-08   2.29883E-08   6.04858E-09  -7.92198E-08   1.09585E-07   6.82613E-08  -1.25562E-07  -2.55303E-08   9.32976E-08  -3.25010E-09   6.15811E-08  -5.20152E-08   5.20072E-08   3.01078E-08  -7.98135E-08  -2.36181E-08   1.89266E-08   2.43011E-08  -3.02333E-08  -2.41896E-08   5.81939E-08   1.45591E-08  -1.70234E-08  -1.49224E-08   2.83925E-08  -1.33652E-09   3.54468E-09   2.93433E-09  -9.88988E-09  -1.27560E-08   7.42040E-09   4.02641E-08  -4.15817E-08  -5.01043E-08   7.37341E-08   1.90135E-08  -7.52799E-08   6.60652E-09  -3.23988E-08   1.42441E-08  -9.74774E-09  -1.60634E-08   3.49997E-08   1.69897E-08  -3.01275E-08  -1.75118E-08   1.63796E-08
   3.98673E-02   5.34787E-02   1.00322E+00  -2.26220E-07   4.95696E-07  -4.63245E-07   4.74417E-07  -9.87246E-07  -5.89618E-07   8.20574E-06  -1.87142E-06  -1.98343E-05   1.56662E-05   1.85417E-05  -4.55146E-05   1.90553E-07   1.79516E-06   2.18516E-07   3.28342E-06   6.37633E-07   7.64580E-07  -5.81988E-08   1.23990E-08   2.44918E-07  -1.95293E-07  -3.54663E-07   5.63358E-07   8.36066E-08  -1.89747E-07   7.32527E-08  -1.16768E-07  -4.17268E-07   1.62779E-07   3.71985E-07  -6.53640E-07  -6.47062E-08   4.35913E-08  -1.58093E-08   1.48665E-08   4.83386E-07  -4.84818E-08  -8.34052E-07   1.69552E-06   2.26016E-07  -5.92641E-07  -2.07688E-07   8.35377E-08   1.46256E-07  -1.20474E-07  -2.04538E-07   4.30976E-07  -1.93430E-08  -1.06320E-07   9.69041E-08  -1.86438E-07  -4.06835E-08   4.76287E-08   3.16456E-08   7.10545E-09   2.92766E-08   8.36050E-08  -1.24115E-07   1.82922E-07   6.80470E-08  -1.12467E-07  -7.38207E-08   7.28072E-08  -4.45918E-08  -6.76337E-08   1.97065E-07  -3.33427E-07  -9.93054E-08   2.53466E-07   6.29683E-08  -7.58306E-08  -7.25516E-08  -2.50298E-08   1.64884E-07  -2.88370E-07  -6.26682E-08   1.73436E-07  -1.52947E-08   2.15022E-08   3.28685E-08  -6.73143E-08  -1.35843E-08  -1.70417E-08   2.07729E-09  -2.50668E-08   5.01142E-08  -4.95753E-08  -3.51107E-08   7.38280E-08   2.82055E-08  -4.16846E-08  -1.21244E-08   1.51664E-08  -2.97817E-08   2.46640E-08   3.48519E-08  -9.75339E-08  -1.70417E-08   4.95973E-08   3.25596E-08   3.14341E-08  -9.96210E-08   1.42639E-07   6.20714E-08  -1.35751E-07  -1.66576E-08   4.95941E-08  -1.15246E-08   4.92478E-08  -1.76114E-08   3.17118E-08  -2.33722E-09  -2.42063E-08  -1.36174E-08  -8.79178E-09   2.19065E-08  -4.48907E-08  -1.46007E-08   4.43735E-08   8.20408E-09   6.50008E-09  -7.54080E-09   1.51564E-08  -9.39735E-09   2.47844E-08  -5.75510E-09  -1.50115E-08  -5.57792E-09  -2.48812E-08
