  time  amplitude  omega  amp_cos  amp_sin
   3.78297E+00   6.10145E-09   8.30264E-01  -6.10145E-09   4.43085E-12
   7.56594E+00   3.76302E-09   1.33240E-01  -3.29636E-09  -1.81504E-09
   1.13489E+01   3.70329E-09   5.52923E-01   3.16374E-09  -1.92486E-09
   1.51319E+01   7.12215E-09   1.91372E-01   7.01041E-09   1.25667E-09
   1.89149E+01   5.16499E-09   2.95646E-01   1.40254E-09   4.97092E-09
   2.26978E+01   7.56814E-09   3.73254E-01  -6.86718E-09   3.18098E-09
   2.64808E+01   7.58189E-09   2.70606E-01  -6.30049E-09  -4.21769E-09
   3.02638E+01   8.10569E-09   3.59200E-01   2.99117E-09  -7.53360E-09
   3.40468E+01   1.00520E-08   2.95974E-01   1.00251E-08  -7.34955E-10
   3.78297E+01   9.74431E-09   3.16424E-01   4.21169E-09   8.78711E-09
   4.16127E+01   1.15122E-08   3.40639E-01  -8.58532E-09   7.66958E-09
   4.53957E+01   1.26421E-08   3.07156E-01  -1.14762E-08  -5.30276E-09
   4.91786E+01   1.38896E-08   3.41050E-01   2.10625E-09  -1.37290E-08
   5.29616E+01   1.63192E-08   3.16191E-01   1.59172E-08  -3.59994E-09
   5.67446E+01   1.74561E-08   3.19993E-01   9.60568E-09   1.45755E-08
   6.05276E+01   1.99824E-08   3.26424E-01  -1.21273E-08   1.58815E-08
   6.43105E+01   2.22455E-08   3.18721E-01  -2.13351E-08  -6.29872E-09
   6.80935E+01   2.51102E-08   3.28935E-01  -9.88352E-10  -2.50908E-08
   7.18765E+01   2.89671E-08   3.16460E-01   2.65314E-08  -1.16264E-08
   7.56594E+01   3.23155E-08   3.20390E-01   2.25372E-08   2.31596E-08
   7.94424E+01   3.67184E-08   3.24590E-01  -1.61738E-08   3.29644E-08
   8.32254E+01   4.11434E-08   3.19737E-01  -4.09583E-08  -3.89852E-09
   8.70084E+01   4.64008E-08   3.24192E-01  -1.14569E-08  -4.49642E-08
   9.07913E+01   5.27632E-08   3.18590E-01   4.30934E-08  -3.04452E-08
   9.45743E+01   5.92038E-08   3.20704E-01   4.89251E-08   3.33381E-08
   9.83573E+01   6.66797E-08   3.20097E-01  -1.57375E-08   6.47959E-08
   1.02140E+02   7.53208E-08   3.20357E-01  -7.47734E-08   9.06394E-09
   1.05923E+02   8.43046E-08   3.21414E-01  -3.85952E-08  -7.49511E-08
   1.09706E+02   9.51811E-08   3.20302E-01   6.39095E-08  -7.05339E-08
   1.13489E+02   1.06745E-07   3.18244E-01   9.95491E-08   3.85285E-08
   1.17272E+02   1.19838E-07   3.21522E-01  -1.77221E-09   1.19825E-07
   1.21055E+02   1.34374E-07   3.18920E-01  -1.26249E-07   4.60190E-08
   1.24838E+02   1.50579E-07   3.19247E-01  -9.84533E-08  -1.13934E-07
   1.28621E+02   1.69584E-07   3.21345E-01   8.17496E-08  -1.48579E-07
   1.32404E+02   1.90617E-07   3.18449E-01   1.88834E-07   2.60122E-08
   1.36187E+02   2.13465E-07   3.21383E-01   4.61934E-08   2.08407E-07
   1.39970E+02   2.40095E-07   3.20887E-01  -2.01484E-07   1.30574E-07
   1.43753E+02   2.67809E-07   3.20011E-01  -2.15513E-07  -1.58983E-07
   1.47536E+02   3.00247E-07   3.19753E-01   8.13577E-08  -2.89014E-07
