  time  amplitude  omega  amp_cos  amp_sin
   3.78297E+00   6.10143E-09   8.30264E-01  -6.10143E-09   4.42917E-12
   7.56594E+00   3.76303E-09   1.33241E-01  -3.29636E-09  -1.81505E-09
   1.13489E+01   3.70323E-09   5.52913E-01   3.16363E-09  -1.92494E-09
   1.51319E+01   7.12207E-09   1.91375E-01   7.01035E-09   1.25650E-09
   1.89149E+01   5.16491E-09   2.95639E-01   1.40278E-09   4.97077E-09
   2.26978E+01   7.56777E-09   3.73258E-01  -6.86673E-09   3.18108E-09
   2.64808E+01   7.58150E-09   2.70610E-01  -6.30027E-09  -4.21732E-09
   3.02638E+01   8.10537E-09   3.59201E-01   2.99090E-09  -7.53336E-09
   3.40468E+01   1.00517E-08   2.95970E-01   1.00247E-08  -7.35285E-10
   3.78297E+01   9.74384E-09   3.16419E-01   4.21198E-09   8.78645E-09
   4.16127E+01   1.15113E-08   3.40641E-01  -8.58430E-09   7.66946E-09
   4.53957E+01   1.26412E-08   3.07160E-01  -1.14755E-08  -5.30194E-09
   4.91786E+01   1.38887E-08   3.41052E-01   2.10569E-09  -1.37282E-08
   5.29616E+01   1.63183E-08   3.16187E-01   1.59161E-08  -3.60048E-09
   5.67446E+01   1.74549E-08   3.19987E-01   9.60602E-09   1.45738E-08
   6.05276E+01   1.99805E-08   3.26424E-01  -1.21251E-08   1.58809E-08
   6.43105E+01   2.22432E-08   3.18725E-01  -2.13333E-08  -6.29692E-09
   6.80935E+01   2.51079E-08   3.28937E-01  -9.89455E-10  -2.50884E-08
   7.18765E+01   2.89647E-08   3.16456E-01   2.65285E-08  -1.16271E-08
   7.56594E+01   3.23125E-08   3.20385E-01   2.25369E-08   2.31557E-08
   7.94424E+01   3.67143E-08   3.24589E-01  -1.61693E-08   3.29620E-08
   8.32254E+01   4.11383E-08   3.19739E-01  -4.09535E-08  -3.89508E-09
   8.70084E+01   4.63953E-08   3.24193E-01  -1.14585E-08  -4.49580E-08
   9.07913E+01   5.27572E-08   3.18588E-01   4.30863E-08  -3.04449E-08
   9.45743E+01   5.91968E-08   3.20700E-01   4.89221E-08   3.33299E-08
   9.83573E+01   6.66707E-08   3.20096E-01  -1.57294E-08   6.47887E-08
   1.02140E+02   7.53098E-08   3.20359E-01  -7.47618E-08   9.06910E-09
   1.05923E+02   8.42923E-08   3.21415E-01  -3.85957E-08  -7.49371E-08
   1.09706E+02   9.51676E-08   3.20300E-01   6.38943E-08  -7.05294E-08
   1.13489E+02   1.06729E-07   3.18241E-01   9.95384E-08   3.85132E-08
   1.17272E+02   1.19819E-07   3.21521E-01  -1.75950E-09   1.19807E-07
   1.21055E+02   1.34352E-07   3.18920E-01  -1.26223E-07   4.60244E-08
   1.24838E+02   1.50554E-07   3.19248E-01  -9.84480E-08  -1.13905E-07
   1.28621E+02   1.69556E-07   3.21344E-01   8.17206E-08  -1.48563E-07
   1.32404E+02   1.90584E-07   3.18446E-01   1.88804E-07   2.59867E-08
   1.36187E+02   2.13427E-07   3.21382E-01   4.62094E-08   2.08364E-07
   1.39970E+02   2.40050E-07   3.20887E-01  -2.01431E-07   1.30574E-07
   1.43753E+02   2.67757E-07   3.20011E-01  -2.15490E-07  -1.58927E-07
   1.47536E+02   3.00188E-07   3.19753E-01   8.13073E-08  -2.88967E-07
   1.51319E+02   3.38082E-07   3.20394E-01   3.36877E-07  -2.85254E-08
   1.55102E+02   3.78385E-07   3.20481E-01   1.62161E-07   3.41876E-07
   1.58885E+02   4.23316E-07   3.19987E-01  -2.93956E-07   3.04609E-07
   1.62668E+02   4.75651E-07   3.19528E-01  -4.37065E-07  -1.87666E-07
   1.66451E+02   5.32329E-07   3.20572E-01   2.52721E-08  -5.31729E-07
   1.70234E+02   5.95195E-07   3.20020E-01   5.66336E-07  -1.83087E-07
   1.74017E+02   6.68938E-07   3.20331E-01   4.16277E-07   5.23633E-07
   1.77800E+02   7.51433E-07   3.19738E-01  -3.84978E-07   6.45325E-07
